data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Abalone,gbm,ga,0.25,10,mse,278.242144107819,4.65819654945195,2.35430035893484,0.7633822855561
Abalone,gbm,ga,0.25,10,mse,561.75671672821,4.51742348065426,2.30428326718874,0.753120207815986
Abalone,gbm,ga,0.25,10,mse,382.391939163208,4.6559590174901,2.2879135598774,0.753210073424105
Abalone,gbm,ga,0.25,10,mse,474.477287530899,4.63575423543166,2.29350639307069,0.755652774064427
Abalone,gbm,ga,0.25,10,mse,417.09769320488,4.55926710024076,2.34073048803135,0.761543289013888
Abalone,gbm,ga,0.25,10,mse,494.109373807907,4.61539430374578,2.30225353742801,0.752564827549741
Abalone,gbm,ga,0.25,10,mse,642.739620685577,4.67841592828513,2.30331800241628,0.754050407188329
Abalone,gbm,ga,0.25,10,mse,724.733367204666,4.51892070457513,2.31638741686087,0.75814712000389
Abalone,gbm,ga,0.25,10,mse,466.695242881775,4.54602015473442,2.29420228571692,0.752739922559314
Abalone,gbm,ga,0.25,10,mse,364.484487533569,4.68879729172579,2.33610786358602,0.759732866423277
