data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Abalone,svm,ga,FALSE,resub,mae,1877.03451228142,0.0689603985514082,7.31323609396902,1.92408709124966
Abalone,svm,ga,FALSE,resub,mae,5696.02686023712,0.194793814418329,8.61326210726505,2.11730201461751
Abalone,svm,ga,FALSE,resub,mae,6013.05403709412,0.119141571354895,13.9081525142322,2.66801012329135
Abalone,svm,ga,FALSE,resub,mae,9111.61635756493,0.0299642002706244,9.88238458228381,2.28767721792199
Abalone,svm,ga,FALSE,resub,mae,13571.9489414692,0.0957570725666368,12.8239193394431,2.5509155312204
Abalone,svm,ga,FALSE,resub,mae,7821.41659903526,0.0233334063777422,8.38167008261437,2.11556432815515
Abalone,svm,ga,FALSE,resub,mae,3914.71014451981,0.0666091350809963,7.31328397471508,1.94267923424265
Abalone,svm,ga,FALSE,resub,mae,3338.27931165695,0.0958895341387633,8.05751618112304,2.05904277571056
Abalone,svm,ga,FALSE,resub,mae,8772.82328391075,0.149089350302941,8.03072584839933,2.05144924554675
Abalone,svm,ga,FALSE,resub,mae,7899.12276029587,0.0364458399289396,9.1764959658088,2.20420784054122
