data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
AmesHousing,en,ga,0.25,10,mse,10.3796856403351,1008414695.77665,1017238285.59779,17920.7789307409
AmesHousing,en,ga,0.25,10,mse,9.4391655921936,1066656675.51619,1091668462.33087,18163.8324927195
AmesHousing,en,ga,0.25,10,mse,6.56056070327759,1007871224.11113,1098105514.92964,18352.6848297452
AmesHousing,en,ga,0.25,10,mse,8.74416065216064,1007992334.08342,1108913551.66371,18299.7124675892
AmesHousing,en,ga,0.25,10,mse,8.03332567214966,1047308708.2916,1072596233.84421,18432.0810557028
AmesHousing,en,ga,0.25,10,mse,5.25405383110046,1086448795.99999,1048193384.41218,17867.8747542311
AmesHousing,en,ga,0.25,10,mse,5.36030507087708,1016154107.9132,1064495082.91685,18169.957384358
AmesHousing,en,ga,0.25,10,mse,5.90006351470947,959830658.808094,1069911495.54534,18142.3110548971
AmesHousing,en,ga,0.25,10,mse,6.75129103660583,1082858396.73342,1078972768.62498,18401.5491119779
AmesHousing,en,ga,0.25,10,mse,5.54100942611694,1083891157.45631,1072555566.67634,18103.2382162092
