data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
AmesHousing,en,ga,FALSE,10,mae,80.6531355381012,17833.0759776626,1093099005.65187,18253.1497606954
AmesHousing,en,ga,FALSE,10,mae,63.0213513374329,17760.0835906578,1051330609.40371,18050.2682632083
AmesHousing,en,ga,FALSE,10,mae,43.0915307998657,17819.0369661875,1077792082.24718,18080.8932203148
AmesHousing,en,ga,FALSE,10,mae,60.9838664531708,17859.5705731324,1056126800.24863,18088.3581361719
AmesHousing,en,ga,FALSE,10,mae,60.6863706111908,17816.1831498052,1159995336.52893,18204.0995843095
AmesHousing,en,ga,FALSE,10,mae,60.0465035438538,17839.3862274293,1083797400.02037,18236.2272729767
AmesHousing,en,ga,FALSE,10,mae,31.5816965103149,17841.8740498009,1057357885.54531,18053.5318468445
AmesHousing,en,ga,FALSE,10,mae,64.1539158821106,17811.3769629009,1008864163.87218,17903.9738337868
AmesHousing,en,ga,FALSE,10,mae,59.1193916797638,17763.6718519194,1039942334.2723,17928.6525477858
AmesHousing,en,ga,FALSE,10,mae,43.057689666748,17770.6392087732,1058329832.89722,18042.8083821578
