data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
AmesHousing,en,hjn,0.5,10,mae,4.41219687461853,18542.4223435182,1121982938.3508,18646.8730567268
AmesHousing,en,hjn,0.5,10,mae,4.14116859436035,18257.7905668485,1068544464.07719,18190.7448434489
AmesHousing,en,hjn,0.5,10,mae,3.4107358455658,19320.7629327617,1182877903.31565,19177.9896594426
AmesHousing,en,hjn,0.5,10,mae,3.96585822105408,17729.3661803393,1079291746.2303,18191.1947345622
AmesHousing,en,hjn,0.5,10,mae,3.83812737464905,18016.4641619181,1072237253.45465,18217.4612089735
AmesHousing,en,hjn,0.5,10,mae,4.15150952339172,18771.2978979925,1049968750.94498,18661.8309124027
AmesHousing,en,hjn,0.5,10,mae,3.57321786880493,18602.6548124864,1126896613.86716,18778.4528583429
AmesHousing,en,hjn,0.5,10,mae,3.89541840553284,17536.6696346919,1196517394.16421,18312.8033268899
AmesHousing,en,hjn,0.5,10,mae,3.38366055488586,17739.104335442,1092500359.14344,18283.6973997817
AmesHousing,en,hjn,0.5,10,mae,3.43361830711365,18387.6497994124,1085371125.56902,18376.933078179
