data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
AmesHousing,en,hjn,0.5,10,mse,4.98280334472656,870475162.011397,1077913547.32534,18325.9935898732
AmesHousing,en,hjn,0.5,10,mse,3.48682737350464,806406988.450962,1103073868.96728,18593.7569537364
AmesHousing,en,hjn,0.5,10,mse,3.56694626808167,915275009.949504,1074369797.89422,18600.6412455581
AmesHousing,en,hjn,0.5,10,mse,4.33634853363037,809725708.10571,1102806471.63547,18718.9535881941
AmesHousing,en,hjn,0.5,10,mse,4.01122784614563,799571290.984178,1103991187.78442,18430.0699120624
AmesHousing,en,hjn,0.5,10,mse,3.33039927482605,826103049.037614,1095786246.0804,18553.8818813829
AmesHousing,en,hjn,0.5,10,mse,3.45440053939819,752448989.068528,1097803955.32184,18486.31709704
AmesHousing,en,hjn,0.5,10,mse,3.77527713775635,845822533.532969,1155270337.02359,18927.2653935601
AmesHousing,en,hjn,0.5,10,mse,3.96954560279846,904782107.030126,1255097969.96274,18885.3807140359
AmesHousing,en,hjn,0.5,10,mse,3.33332324028015,927355155.750788,1128054437.98595,18792.001694853
