data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
AmesHousing,gbm,hjn,0.75,10,mse,2713.50719761848,311776233.356514,335220754.707481,7216.28384189298
AmesHousing,gbm,hjn,0.75,10,mse,2052.67590022087,357927071.743461,338418136.457897,7230.14429669961
AmesHousing,gbm,hjn,0.75,10,mse,1346.95761871338,323688162.728272,328402696.482673,7195.19288675189
AmesHousing,gbm,hjn,0.75,10,mse,2745.26670050621,330107560.082834,338292297.272565,7388.8125526755
AmesHousing,gbm,hjn,0.75,10,mse,1167.85083150864,379811688.459327,339859330.326606,7321.36239262725
AmesHousing,gbm,hjn,0.75,10,mse,1190.97804522514,343460504.050789,324996718.415415,7237.54846972282
AmesHousing,gbm,hjn,0.75,10,mse,1433.93000650406,296019004.355206,329016425.246245,7330.57492869857
AmesHousing,gbm,hjn,0.75,10,mse,1990.47192788124,291299730.796934,334160643.996783,7359.44205990483
AmesHousing,gbm,hjn,0.75,10,mse,1652.91709828377,351736224.308757,335225824.300849,7317.38336192043
AmesHousing,gbm,hjn,0.75,10,mse,1363.06680870056,334229171.545766,346273699.079112,7399.42998304222
