data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
AmesHousing,svm,ga,250,10,mse,100.204435110092,837219452.349555,931597608.538089,18586.565459691
AmesHousing,svm,ga,250,10,mse,69.633775472641,834093840.629506,866215498.784565,16700.731718325
AmesHousing,svm,ga,250,10,mse,79.1689846515656,826350520.159734,1291932045.81,18008.1875792021
AmesHousing,svm,ga,250,10,mse,76.1606464385986,806401710.391428,880829580.390339,17302.7162538382
AmesHousing,svm,ga,250,10,mse,100.437834739685,821872741.406484,972093964.416513,18583.2355926834
AmesHousing,svm,ga,250,10,mse,65.536381483078,857176553.990814,925969385.246995,18254.2794155039
AmesHousing,svm,ga,250,10,mse,43.7911324501038,931045234.406117,944650364.135811,18415.7660733266
AmesHousing,svm,ga,250,10,mse,69.1065578460693,845865826.051203,884995269.45222,17655.9519186813
AmesHousing,svm,ga,250,10,mse,61.6233932971954,906761487.061972,845526547.207843,16557.3756656778
AmesHousing,svm,ga,250,10,mse,80.1002004146576,841213485.82194,1124479060.22121,17501.2674754733
