data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
AmesHousing,svm,hjn,0.75,10,mse,199.454731225967,503951680.185046,957118797.043143,17301.8395750466
AmesHousing,svm,hjn,0.75,10,mse,52.1060054302216,613339222.814617,982198446.736771,19787.1231657332
AmesHousing,svm,hjn,0.75,10,mse,168.81592464447,437121246.063392,963184300.283816,17185.7731995652
AmesHousing,svm,hjn,0.75,10,mse,192.943248987198,374152840.938258,1020460420.48484,14952.831238568
AmesHousing,svm,hjn,0.75,10,mse,162.045795679092,471087122.493799,947707380.878818,17735.1278450786
AmesHousing,svm,hjn,0.75,10,mse,94.0405516624451,499835284.77005,932705532.007852,17377.3015525833
AmesHousing,svm,hjn,0.75,10,mse,143.935069322586,429736665.641672,898791418.267878,17504.287804891
AmesHousing,svm,hjn,0.75,10,mse,97.2231507301331,359090621.095777,963887303.031049,14710.8312973642
AmesHousing,svm,hjn,0.75,10,mse,144.257779598236,433056163.997444,878656198.019088,17359.4679081356
AmesHousing,svm,hjn,0.75,10,mse,106.903853654861,306795185.819667,987697518.173065,15022.6330406503
