data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
BostonHousing,gbm,ga,TRUE,10,mae,495.802711725235,1.9815925644562,4.09845796340248,0.950076098537072
BostonHousing,gbm,ga,TRUE,10,mae,356.283393859863,1.95870286454085,3.88138449649241,0.916272176958579
BostonHousing,gbm,ga,TRUE,10,mae,175.740962505341,1.97929126570783,4.07833394705926,0.954529969630544
BostonHousing,gbm,ga,TRUE,10,mae,272.888883590698,1.9605736717982,4.02396206548366,0.94119438749873
BostonHousing,gbm,ga,TRUE,10,mae,450.61005282402,1.90594215913643,3.74587741762503,0.953039398531387
BostonHousing,gbm,ga,TRUE,10,mae,431.995481014252,1.92106460728706,4.08163576713721,0.957425842812263
BostonHousing,gbm,ga,TRUE,10,mae,276.378470659256,1.89673725105738,3.88763342739205,0.949441913767962
BostonHousing,gbm,ga,TRUE,10,mae,147.315578222275,1.9618578152028,4.03678209968579,0.931901781966298
BostonHousing,gbm,ga,TRUE,10,mae,272.432712078094,1.90308182879275,4.59171336493754,0.94739692215363
BostonHousing,gbm,ga,TRUE,10,mae,120.411844491959,1.86475345942005,4.75199917557685,0.983178483320395
