data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
BostonHousing,svm,ga,FALSE,3,mse,31.0075559616089,7.90507776903998,7.55240075876984,1.96266516111966
BostonHousing,svm,ga,FALSE,3,mse,56.9640278816223,7.73937303229554,8.48994940680254,2.08596055738595
BostonHousing,svm,ga,FALSE,3,mse,56.2995755672455,7.8827934949515,7.67445529552603,1.9615010616384
BostonHousing,svm,ga,FALSE,3,mse,35.8688180446625,7.64806715753877,7.28907605977726,1.92132996536083
BostonHousing,svm,ga,FALSE,3,mse,49.6512162685394,8.14215958376665,8.20186680502475,1.99009848248069
BostonHousing,svm,ga,FALSE,3,mse,39.471745967865,7.61886073222329,7.37155484813745,1.92453966052589
BostonHousing,svm,ga,FALSE,3,mse,33.0685787200928,8.02621397187079,7.75449893433621,1.97309226280163
BostonHousing,svm,ga,FALSE,3,mse,22.8955528736115,7.84285793128235,8.80919931658188,2.04097509506643
BostonHousing,svm,ga,FALSE,3,mse,52.6926000118256,7.60756958192439,7.24452109758231,1.927650551648
BostonHousing,svm,ga,FALSE,3,mse,30.3323588371277,7.90377796545329,8.15092179377859,2.05067885211218
