data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
BostonHousing,svm,hjn,0.75,10,mse,10.475040435791,5.11066688988619,8.81704913564018,1.96249334404995
BostonHousing,svm,hjn,0.75,10,mse,7.96705389022827,7.52232216510715,10.2630458103205,2.14109107050739
BostonHousing,svm,hjn,0.75,10,mse,2.06623387336731,6.16262812907381,9.58568812582721,2.26472176044915
BostonHousing,svm,hjn,0.75,10,mse,9.67076849937439,6.20161680498328,9.09175304464397,2.06603982737707
BostonHousing,svm,hjn,0.75,10,mse,7.29043579101562,4.71082742668293,9.33673314651043,1.94041200204425
BostonHousing,svm,hjn,0.75,10,mse,8.4921727180481,5.68983755420474,9.8976648869678,1.95007193309283
BostonHousing,svm,hjn,0.75,10,mse,7.27501583099365,5.05313088736108,8.59830932433834,1.91806441119987
BostonHousing,svm,hjn,0.75,10,mse,9.31031703948975,4.8712196701613,9.47378075692592,1.98207748184823
BostonHousing,svm,hjn,0.75,10,mse,11.3822364807129,4.85438961340641,9.5396640816078,1.99057315095539
BostonHousing,svm,hjn,0.75,10,mse,2.18163442611694,6.6941722345887,9.94024504549884,2.33185782974304
