data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
BreastCancer,ada,hjn,0.5,10,auc,75.4599251747131,0.997139084507042,0.967789165446559,0.993639036526066
BreastCancer,ada,hjn,0.5,10,auc,88.3160045146942,0.998812260536398,0.966325036603221,0.992079422518755
BreastCancer,ada,hjn,0.5,10,auc,44.5079672336578,0.99516872305634,0.960468521229868,0.989940254061593
BreastCancer,ada,hjn,0.5,10,auc,61.5421290397644,0.997814814814815,0.967789165446559,0.992032304270799
BreastCancer,ada,hjn,0.5,10,auc,52.3400602340698,0.998460946517891,0.963396778916545,0.99199932149723
BreastCancer,ada,hjn,0.5,10,auc,65.300637960434,0.997764799192444,0.967789165446559,0.990001507783935
BreastCancer,ada,hjn,0.5,10,auc,69.1418976783752,0.998376999768143,0.969253294289897,0.992442233028007
BreastCancer,ada,hjn,0.5,10,auc,74.296966791153,0.998001508295626,0.961932650073206,0.990816653473558
BreastCancer,ada,hjn,0.5,10,auc,65.8304407596588,0.997637504614249,0.961932650073206,0.988253420784802
BreastCancer,ada,hjn,0.5,10,auc,58.9896512031555,0.996344747979992,0.961932650073206,0.993398733461495
