data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
BreastCancer,gbm,ga,FALSE,10,class,1832.99943256378,0.976573938506589,0.972181551976574,0.971842135022051
BreastCancer,gbm,ga,FALSE,10,class,1058.6973297596,0.97510980966325,0.969253294289897,0.966692110520562
BreastCancer,gbm,ga,FALSE,10,class,1102.33946847916,0.976573938506589,0.970717423133236,0.969750084812846
BreastCancer,gbm,ga,FALSE,10,class,1091.19017601013,0.97510980966325,0.972181551976574,0.969910286855894
BreastCancer,gbm,ga,FALSE,10,class,1530.62868595123,0.976573938506589,0.973645680819912,0.972968261148177
BreastCancer,gbm,ga,FALSE,10,class,1738.48368883133,0.976573938506589,0.972181551976574,0.971842135022051
BreastCancer,gbm,ga,FALSE,10,class,1233.54130196571,0.976573938506589,0.972181551976574,0.970876210938972
BreastCancer,gbm,ga,FALSE,10,class,953.773417949677,0.97510980966325,0.967789165446559,0.966531908477515
BreastCancer,gbm,ga,FALSE,10,class,791.49995970726,0.976573938506589,0.976573938506589,0.976186437483509
BreastCancer,gbm,ga,FALSE,10,class,1538.31073784828,0.976573938506589,0.972181551976574,0.970876210938972
