data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
CO2,gbm,ga,FALSE,resub,mse,30.9748418331146,0.324647925739673,4.43051203813688,1.06418177185674
CO2,gbm,ga,FALSE,resub,mse,13.7322723865509,0.261967513520877,4.11126982214664,0.983679885854391
CO2,gbm,ga,FALSE,resub,mse,25.2019329071045,0.194685818517335,4.7143186754144,1.11623385447145
CO2,gbm,ga,FALSE,resub,mse,16.6577882766724,0.109327995548658,4.29216147519668,1.07517859005012
CO2,gbm,ga,FALSE,resub,mse,26.2719306945801,0.246092086676974,4.19019686485585,1.05714509744713
CO2,gbm,ga,FALSE,resub,mse,24.9549543857574,0.224542883289257,4.78435431529206,1.07774927696498
CO2,gbm,ga,FALSE,resub,mse,22.6209878921509,0.723639591068744,4.62888105701142,1.11074111449448
CO2,gbm,ga,FALSE,resub,mse,13.3060593605042,0.130042721319946,4.95354939445743,1.1519096239694
CO2,gbm,ga,FALSE,resub,mse,28.6952731609344,0.140428067998063,4.57681413764284,1.08080565851035
CO2,gbm,ga,FALSE,resub,mse,11.3630893230438,0.158301090603587,4.57412347278918,1.09269203622453
