data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
CO2,gbm,hjn,0.25,10,mse,2.26692295074463,1e+150,2.70759175652816,0.888095944636761
CO2,gbm,hjn,0.25,10,mse,0.955308198928833,1e+150,2.71758195744517,0.911849727020397
CO2,gbm,hjn,0.25,10,mse,0.996258974075317,1e+150,2.59678245973319,0.897338724351188
CO2,gbm,hjn,0.25,10,mse,0.947601556777954,1e+150,2.84966774991361,0.944233289152014
CO2,gbm,hjn,0.25,10,mse,0.958613634109497,1e+150,3.00857501443658,0.955120261737264
CO2,gbm,hjn,0.25,10,mse,0.935556411743164,1e+150,2.47493487232333,0.864308992044225
CO2,gbm,hjn,0.25,10,mse,0.953080892562866,1e+150,2.55600498846648,0.86929748726776
CO2,gbm,hjn,0.25,10,mse,0.976382493972778,1e+150,2.85760788689964,0.944822828110682
CO2,gbm,hjn,0.25,10,mse,0.957298517227173,1e+150,3.00651274285662,0.92786732612858
CO2,gbm,hjn,0.25,10,mse,0.949956893920898,1e+150,2.5080679390204,0.873705321594307
