data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
CO2,svm,ga,0.25,10,mae,2.09165740013123,3.28466033843528,16.4364380530076,3.01838800248169
CO2,svm,ga,0.25,10,mae,1.79349827766418,3.35465487392588,15.424342211615,3.09256106741964
CO2,svm,ga,0.25,10,mae,2.5178394317627,3.1330311116753,12.5871421030014,2.38431341138486
CO2,svm,ga,0.25,10,mae,2.41055107116699,2.96053486707924,11.6037276939444,2.67317633314224
CO2,svm,ga,0.25,10,mae,1.67106580734253,3.15941476402819,13.3031300749822,2.76179634401882
CO2,svm,ga,0.25,10,mae,2.45256304740906,2.83031470846085,14.4905543363344,2.59097849467255
CO2,svm,ga,0.25,10,mae,2.03130984306335,3.07806447701071,12.5263214162976,2.42292517184505
CO2,svm,ga,0.25,10,mae,2.26058506965637,3.64391316738088,22.8161196903942,3.8071376034795
CO2,svm,ga,0.25,10,mae,1.86502981185913,3.43353441489235,16.8849742620527,3.24433127756843
CO2,svm,ga,0.25,10,mae,2.10046863555908,3.5317469842401,23.148349096117,3.74172209440983
