data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
CO2,svm,ga,0.75,10,mse,2.34744238853455,5.48477925530825,12.9046040594693,2.85355416815707
CO2,svm,ga,0.75,10,mse,2.76763987541199,3.56547517180652,12.2068439952867,2.74806067301833
CO2,svm,ga,0.75,10,mse,2.00158739089966,2.74028995500206,12.350627351787,2.46593283203096
CO2,svm,ga,0.75,10,mse,2.105135679245,7.49883233279675,15.4201570601487,2.79563241458331
CO2,svm,ga,0.75,10,mse,2.3845751285553,5.7669888297155,15.0327302594913,2.6922731495063
CO2,svm,ga,0.75,10,mse,2.76591897010803,4.73349484764754,12.2534285600465,2.59948480809749
CO2,svm,ga,0.75,10,mse,2.86707735061646,4.07858005228565,11.0605201202879,2.61469083074711
CO2,svm,ga,0.75,10,mse,2.88591933250427,5.1566056101463,17.2093004503164,3.15272433149993
CO2,svm,ga,0.75,10,mse,3.22382187843323,6.33296670762982,12.8751325405971,2.66273637233864
CO2,svm,ga,0.75,10,mse,2.04048156738281,5.30628015073437,10.735113306862,2.38347422903897
