data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
CO2,svm,hjn,FALSE,10,mae,11.3295524120331,1.94023142549307,9.0751219898061,2.17972861640091
CO2,svm,hjn,FALSE,10,mae,4.56057381629944,3.46229432701643,20.9141536209697,3.66868820977381
CO2,svm,hjn,FALSE,10,mae,3.19513988494873,3.47070389438136,22.5047971947506,3.73357878035934
CO2,svm,hjn,FALSE,10,mae,3.30308771133423,3.48627360925725,21.0626900685581,3.58352876885521
CO2,svm,hjn,FALSE,10,mae,7.18421959877014,2.0173540556445,10.1798500541012,2.25131829932856
CO2,svm,hjn,FALSE,10,mae,6.57437658309937,1.86887312561195,9.05888801327341,2.13999810889086
CO2,svm,hjn,FALSE,10,mae,9.08391308784485,2.23236831695897,12.1843695087367,2.34482383807177
CO2,svm,hjn,FALSE,10,mae,3.03459501266479,3.49851064522549,21.2514300382066,3.69275723504258
CO2,svm,hjn,FALSE,10,mae,2.91420841217041,3.46930814499409,22.3970057222577,3.6936987692748
CO2,svm,hjn,FALSE,10,mae,7.10897350311279,1.99463795018787,10.6120443126328,2.18824258973767
