data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
CO2,svm,hjn,FALSE,10,mse,8.1956901550293,9.31638421291343,13.011563472282,2.54192817086267
CO2,svm,hjn,FALSE,10,mse,6.33549618721008,8.2454083051596,11.1765049783293,2.12692602946708
CO2,svm,hjn,FALSE,10,mse,5.41218400001526,8.59842877655948,10.5945817360607,2.19911934208483
CO2,svm,hjn,FALSE,10,mse,0.98005485534668,19.2626180329312,21.3582811788113,3.68213977792957
CO2,svm,hjn,FALSE,10,mse,8.80967164039612,8.68700566954437,11.9177332252166,2.29315711342749
CO2,svm,hjn,FALSE,10,mse,0.957329750061035,19.3307986252046,21.6328573528438,3.7015552835675
CO2,svm,hjn,FALSE,10,mse,7.83053994178772,7.63613135276352,10.5225865793871,2.37937667290378
CO2,svm,hjn,FALSE,10,mse,9.38995313644409,7.66015213406756,12.7726189592281,2.41477310827278
CO2,svm,hjn,FALSE,10,mse,7.25395178794861,8.29256998566759,10.9717394629852,2.27956905385122
CO2,svm,hjn,FALSE,10,mse,4.52686715126038,9.11673050695671,20.6325197416209,2.99750198211471
