data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Crime,svm,ga,FALSE,10,mae,9.79196310043335,17.1988646049083,722.57366817779,21.0450660187967
Crime,svm,ga,FALSE,10,mae,8.95801210403442,17.3087492096605,648.093996870315,19.5084246467661
Crime,svm,ga,FALSE,10,mae,7.0775318145752,18.4426548830771,682.577365551565,19.3430430483059
Crime,svm,ga,FALSE,10,mae,6.75691080093384,17.9437086331753,632.149302552575,18.7115032472475
Crime,svm,ga,FALSE,10,mae,11.8756799697876,16.5341049459621,536.880937416613,17.6363891070046
Crime,svm,ga,FALSE,10,mae,10.0511417388916,16.7828598255584,568.86349720837,18.0899144603987
Crime,svm,ga,FALSE,10,mae,6.17764639854431,17.1635919667435,615.753073810662,19.3023201322063
Crime,svm,ga,FALSE,10,mae,8.46765208244324,18.0318270985361,754.038993058894,21.3660934787408
Crime,svm,ga,FALSE,10,mae,9.30945563316345,16.8765004740675,666.863512379057,19.7603745588267
Crime,svm,ga,FALSE,10,mae,11.3861830234528,16.6141263064846,517.344611902648,16.8163554114927
