data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Crime,svm,hjn,0.25,10,mse,0.460480213165283,565.53739211082,1068.02970002096,25.8065269149277
Crime,svm,hjn,0.25,10,mse,0.517529964447021,676.461145392275,1158.8159701761,26.766625864661
Crime,svm,hjn,0.25,10,mse,0.5940260887146,509.352136583301,824.330570837776,21.9581045728035
Crime,svm,hjn,0.25,10,mse,0.941637277603149,647.109084336281,871.899721537435,22.1660777002161
Crime,svm,hjn,0.25,10,mse,0.57734751701355,834.503770218042,814.763398400786,21.9320308599908
Crime,svm,hjn,0.25,10,mse,0.601689100265503,557.263629489699,1078.05715671286,24.5999575526934
Crime,svm,hjn,0.25,10,mse,0.78935980796814,679.907786073792,934.123587675464,23.3232491122197
Crime,svm,hjn,0.25,10,mse,0.543904304504395,598.09253260058,730.178254797642,20.6813249555546
Crime,svm,hjn,0.25,10,mse,0.656725883483887,714.122316658555,730.51475766207,20.700799531821
Crime,svm,hjn,0.25,10,mse,0.491310358047485,432.530888550386,1101.37447979155,24.7846055485873
