data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Ionosphere,ada,hjn,0.75,10,auc,154.037257194519,0.997126436781609,0.92022792022792,0.972451499118166
Ionosphere,ada,hjn,0.75,10,auc,113.491094350815,1,0.931623931623932,0.979823633156966
Ionosphere,ada,hjn,0.75,10,auc,140.465481281281,0.995263157894737,0.928774928774929,0.97978835978836
Ionosphere,ada,hjn,0.75,10,auc,80.9043405056,1,0.925925925925926,0.969206349206349
Ionosphere,ada,hjn,0.75,10,auc,146.542998552322,0.998785670916818,0.914529914529915,0.972839506172839
Ionosphere,ada,hjn,0.75,10,auc,106.523363828659,1,0.928774928774929,0.960423280423281
Ionosphere,ada,hjn,0.75,10,auc,146.361430644989,1,0.908831908831909,0.969171075837743
Ionosphere,ada,hjn,0.75,10,auc,128.899347543716,0.998850574712644,0.92022792022792,0.963492063492064
Ionosphere,ada,hjn,0.75,10,auc,160.350388050079,0.996277915632754,0.931623931623932,0.971393298059965
Ionosphere,ada,hjn,0.75,10,auc,92.99738240242,1,0.92022792022792,0.971816578483245
