data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Ionosphere,ada,hjn,50,10,class,138.508687734604,0.897009966777409,0.914529914529915,0.968924162257495
Ionosphere,ada,hjn,50,10,class,97.4245021343231,0.893687707641196,0.92022792022792,0.970617283950617
Ionosphere,ada,hjn,50,10,class,86.5070939064026,0.887043189368771,0.92022792022792,0.959858906525573
Ionosphere,ada,hjn,50,10,class,93.8871121406555,0.897009966777409,0.92022792022792,0.952663139329806
Ionosphere,ada,hjn,50,10,class,113.12878036499,0.893687707641196,0.928774928774929,0.972663139329806
Ionosphere,ada,hjn,50,10,class,81.0452632904053,0.87375415282392,0.905982905982906,0.962927689594357
Ionosphere,ada,hjn,50,10,class,92.8791208267212,0.900332225913621,0.934472934472934,0.979118165784832
Ionosphere,ada,hjn,50,10,class,76.8569567203522,0.880398671096346,0.94017094017094,0.971887125220459
Ionosphere,ada,hjn,50,10,class,92.7575044631958,0.893687707641196,0.925925925925926,0.966913580246914
Ionosphere,ada,hjn,50,10,class,81.2389192581177,0.887043189368771,0.92022792022792,0.971111111111111
