data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Lichen,en,hjn,0.75,10,class,12.1792652606964,0.876190476190476,0.846428571428571,0.89778152664379
Lichen,en,hjn,0.75,10,class,10.8795537948608,0.885714285714286,0.838095238095238,0.891041757089859
Lichen,en,hjn,0.75,10,class,11.076619386673,0.876190476190476,0.836904761904762,0.891999901728753
Lichen,en,hjn,0.75,10,class,11.8076169490814,0.895238095238095,0.839285714285714,0.891017189278605
Lichen,en,hjn,0.75,10,class,24.7391436100006,0.904761904761905,0.855952380952381,0.902793360139544
Lichen,en,hjn,0.75,10,class,12.843535900116,0.90952380952381,0.855952380952381,0.897355684582059
Lichen,en,hjn,0.75,10,class,13.2283356189728,0.9,0.852380952380952,0.901417562709336
Lichen,en,hjn,0.75,10,class,10.2051954269409,0.880952380952381,0.839285714285714,0.891533113314933
Lichen,en,hjn,0.75,10,class,10.6225845813751,0.880952380952381,0.846428571428571,0.894653225344153
Lichen,en,hjn,0.75,10,class,9.94162797927856,0.885714285714286,0.842857142857143,0.890910728763173
