data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Mullein,ada,ga,250,10,auc,2957.86370706558,0.850609137387303,0.852819579957004,0.933527454267932
Mullein,ada,ga,250,10,auc,3896.66633844376,0.857022282169527,0.879692409459236,0.946513200206215
Mullein,ada,ga,250,10,auc,2288.99763059616,0.866142318511193,0.858938316520589,0.932199465905777
Mullein,ada,ga,250,10,auc,2536.39181065559,0.853931254987344,0.872168017198611,0.942651574846051
Mullein,ada,ga,250,10,auc,3164.5274207592,0.853914583228065,0.876550355548206,0.943945816204234
Mullein,ada,ga,250,10,auc,1583.9056417942,0.851645579177988,0.860509343476104,0.934823363832966
Mullein,ada,ga,250,10,auc,2322.69035100937,0.852739052424454,0.867702993219778,0.940727284581238
Mullein,ada,ga,250,10,auc,2320.01405835152,0.854824848460947,0.863982139904085,0.938696502555128
Mullein,ada,ga,250,10,auc,3405.86596846581,0.848197099701717,0.880684637010088,0.946938128040569
Mullein,ada,ga,250,10,auc,1665.72233104706,0.858544577029773,0.836117082851001,0.917856934526616
