data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Mullein,en,ga,250,10,class,168.869724035263,0.778537656197231,0.767736067471473,0.829015854501079
Mullein,en,ga,250,10,class,130.969699621201,0.774062816616008,0.759880932693898,0.826080603543032
Mullein,en,ga,250,10,class,142.167446136475,0.775667004390409,0.770795435753266,0.830583941583884
Mullein,en,ga,250,10,class,127.587921857834,0.777524484971293,0.759550190176947,0.825879133382423
Mullein,en,ga,250,10,class,140.106774568558,0.781408308004053,0.760211675210848,0.826638987924632
Mullein,en,ga,250,10,class,172.507633447647,0.777524484971293,0.757152306929056,0.825689778232153
Mullein,en,ga,250,10,class,132.300818920135,0.780732860520095,0.7612039027617,0.826773839202213
Mullein,en,ga,250,10,class,189.573691129684,0.772627490712597,0.771456920787167,0.83064481745975
Mullein,en,ga,250,10,class,196.438679456711,0.772543059777102,0.774268232181247,0.832529645061096
Mullein,en,ga,250,10,class,143.803891658783,0.768237082066869,0.751860426657847,0.823352593100383
