data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Mullein,en,hjn,FALSE,resub,auc,881.911835432053,0.834967086689235,0.774268232181247,0.834108643857495
Mullein,en,hjn,FALSE,resub,auc,887.900552988052,0.834967086689235,0.774598974698197,0.833764911205313
Mullein,en,hjn,FALSE,resub,auc,894.381931066513,0.834967086689235,0.775095088473623,0.833849497496426
Mullein,en,hjn,FALSE,resub,auc,810.52387213707,0.834967086689235,0.77484703158591,0.833946691055666
Mullein,en,hjn,FALSE,resub,auc,742.64324426651,0.834967086689235,0.774350917810484,0.833871020099445
Mullein,en,hjn,FALSE,resub,auc,732.563297271729,0.834967086689235,0.775260459732099,0.833957301945082
Mullein,en,hjn,FALSE,resub,auc,799.770583868027,0.834967086689235,0.774681660327435,0.833786980761387
Mullein,en,hjn,FALSE,resub,auc,712.058473110199,0.834967086689235,0.774433603439722,0.83402895279628
Mullein,en,hjn,FALSE,resub,auc,694.011761903763,0.834967086689235,0.775343145361336,0.833781675316674
Mullein,en,hjn,FALSE,resub,auc,694.070827007294,0.834967086689235,0.774681660327435,0.833763981385099
