data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Mullein,gbm,ga,FALSE,resub,class,12324.6849980354,1,0.931949727137424,0.931949727137424
Mullein,gbm,ga,FALSE,resub,class,12643.3257832527,1,0.928642301967918,0.928642301967918
Mullein,gbm,ga,FALSE,resub,class,13240.8068799973,1,0.932363155283612,0.932363155283612
Mullein,gbm,ga,FALSE,resub,class,22813.9744808674,0.999917314370762,0.929882586406483,0.929882586406483
Mullein,gbm,ga,FALSE,resub,class,14422.1501715183,1,0.930792128328097,0.930792128328097
Mullein,gbm,ga,FALSE,resub,class,11583.2020821571,1,0.929551843889532,0.929551843889532
Mullein,gbm,ga,FALSE,resub,class,11311.1078159809,1,0.931122870845047,0.931122870845047
Mullein,gbm,ga,FALSE,resub,class,11030.4892921448,1,0.929303787001819,0.929303787001819
Mullein,gbm,ga,FALSE,resub,class,11962.5015838146,1,0.929799900777245,0.929799900777245
Mullein,gbm,ga,FALSE,resub,class,13063.4023625851,1,0.929551843889532,0.929551843889532
