data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Pima,gbm,hjn,0.25,10,class,22.3461558818817,0.765625,0.740885416666667,0.640850746268657
Pima,gbm,hjn,0.25,10,class,18.6560354232788,0.779513888888889,0.7421875,0.641850746268657
Pima,gbm,hjn,0.25,10,class,18.0100123882294,0.756944444444444,0.739583333333333,0.708238805970149
Pima,gbm,hjn,0.25,10,class,15.0471885204315,0.751736111111111,0.734375,0.703373134328358
Pima,gbm,hjn,0.25,10,class,13.1899871826172,0.758680555555556,0.731770833333333,0.700507462686567
Pima,gbm,hjn,0.25,10,class,14.011331319809,0.772569444444444,0.735677083333333,0.634253731343284
Pima,gbm,hjn,0.25,10,class,13.5838053226471,0.753472222222222,0.74609375,0.71410447761194
Pima,gbm,hjn,0.25,10,class,19.9906733036041,0.753472222222222,0.734375,0.700776119402985
Pima,gbm,hjn,0.25,10,class,11.8357610702515,0.786458333333333,0.739583333333333,0.638985074626866
Pima,gbm,hjn,0.25,10,class,9.96392416954041,0.786458333333333,0.733072916666667,0.630522388059702
