data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Pima,svm,ga,FALSE,resub,auc,48.6536955833435,1,0.64453125,0.705343283582089
Pima,svm,ga,FALSE,resub,auc,44.9841325283051,1,0.66015625,0.721425373134329
Pima,svm,ga,FALSE,resub,auc,51.4476771354675,1,0.662760416666667,0.720731343283582
Pima,svm,ga,FALSE,resub,auc,52.8466730117798,1,0.697916666666667,0.712059701492537
Pima,svm,ga,FALSE,resub,auc,42.4338984489441,1,0.696614583333333,0.720768656716417
Pima,svm,ga,FALSE,resub,auc,48.9390034675598,1,0.6484375,0.709208955223877
Pima,svm,ga,FALSE,resub,auc,46.6368324756622,1,0.680989583333333,0.720037313432837
Pima,svm,ga,FALSE,resub,auc,49.85484623909,1,0.649739583333333,0.6845
Pima,svm,ga,FALSE,resub,auc,44.1277780532837,1,0.674479166666667,0.711880597014926
Pima,svm,ga,FALSE,resub,auc,45.8902063369751,1,0.688802083333333,0.721492537313433
