data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Sonar,svm,ga,0.25,10,auc,8.24073481559753,0.927369648509078,0.884615384615385,0.961734930807096
Sonar,svm,ga,0.25,10,auc,6.41291666030884,0.931216931216931,0.884615384615385,0.962756571003994
Sonar,svm,ga,0.25,10,auc,5.10649609565735,0.933763586956522,0.884615384615385,0.957926999164113
Sonar,svm,ga,0.25,10,auc,8.70387506484985,0.958077879038939,0.884615384615385,0.961734930807096
Sonar,svm,ga,0.25,10,auc,7.90974855422974,0.936131687242798,0.879807692307692,0.95263304541655
Sonar,svm,ga,0.25,10,auc,7.44705748558044,0.934217067108533,0.860576923076923,0.958484257453329
Sonar,svm,ga,0.25,10,auc,7.31273484230042,0.970836785418392,0.865384615384615,0.954026191139593
Sonar,svm,ga,0.25,10,auc,4.72433686256409,0.957083678541839,0.889423076923077,0.962106436333241
Sonar,svm,ga,0.25,10,auc,5.89078950881958,0.945370523188645,0.894230769230769,0.964242593108573
Sonar,svm,ga,0.25,10,auc,7.05378246307373,0.955768278593827,0.889423076923077,0.966936008173121
