data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Sonar,svm,hjn,FALSE,resub,auc,4.82483625411987,1,0.870192307692308,0.95774124640104
Sonar,svm,hjn,FALSE,resub,auc,5.10575675964355,1,0.889423076923077,0.97037243428996
Sonar,svm,hjn,FALSE,resub,auc,4.65750575065613,1,0.894230769230769,0.972415714683756
Sonar,svm,hjn,FALSE,resub,auc,4.32550811767578,1,0.884615384615385,0.968886412185381
Sonar,svm,hjn,FALSE,resub,auc,4.61439681053162,1,0.875,0.965357109687007
Sonar,svm,hjn,FALSE,resub,auc,3.91997051239014,1,0.879807692307692,0.964428345871645
Sonar,svm,hjn,FALSE,resub,auc,4.4638774394989,1,0.875,0.960991919754806
Sonar,svm,hjn,FALSE,resub,auc,4.66442251205444,1,0.879807692307692,0.961177672517879
Sonar,svm,hjn,FALSE,resub,auc,4.85965704917908,1,0.879807692307692,0.961827807188632
Sonar,svm,hjn,FALSE,resub,auc,4.65258026123047,1,0.884615384615385,0.962106436333241
