data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Union,gbm,hjn,FALSE,resub,mse,5.28984260559082,15.3834679145279,63.8797542964064,4.6040637154204
Union,gbm,hjn,FALSE,resub,mse,3.94667363166809,15.349815959973,60.7919839501733,4.48245306975484
Union,gbm,hjn,FALSE,resub,mse,4.5142183303833,15.3882052446052,60.0819855517647,4.3176530872324
Union,gbm,hjn,FALSE,resub,mse,3.08617424964905,15.3861613077491,70.1210786313695,4.70297673593286
Union,gbm,hjn,FALSE,resub,mse,3.2575089931488,15.4124775859319,71.0357044511599,4.8529736374123
Union,gbm,hjn,FALSE,resub,mse,3.19236731529236,15.3124230270031,68.9601333092132,4.5141657166871
Union,gbm,hjn,FALSE,resub,mse,3.0150511264801,15.3693394291059,61.1442169519737,4.43693084738056
Union,gbm,hjn,FALSE,resub,mse,3.23637676239014,15.3982665262182,65.7457440554369,4.66392964229016
Union,gbm,hjn,FALSE,resub,mse,3.36086273193359,15.4080730817948,64.1484214195187,4.49713108034012
Union,gbm,hjn,FALSE,resub,mse,3.74362182617188,15.3568753493566,72.1579552281575,4.9149925851
