data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Union,svm,hjn,0.75,10,mse,0.49847149848938,29.6068598609499,70.1494675125285,6.30604256154538
Union,svm,hjn,0.75,10,mse,0.413458585739136,23.3363674961125,77.6248464758876,6.76290116359697
Union,svm,hjn,0.75,10,mse,0.388521671295166,12.9583133020213,76.113727634389,6.77086046280173
Union,svm,hjn,0.75,10,mse,0.322207927703857,18.89372875183,70.1922343900034,6.50994739313874
Union,svm,hjn,0.75,10,mse,0.385591983795166,23.6522724024359,71.9319055628335,6.68492116967622
Union,svm,hjn,0.75,10,mse,0.343180656433105,23.142119753324,79.9683729537054,7.08350312501055
Union,svm,hjn,0.75,10,mse,0.363538026809692,29.4756984732212,78.5393782489621,6.86095601653664
Union,svm,hjn,0.75,10,mse,0.34514045715332,29.2947996348465,76.7538010208715,7.05557234821355
Union,svm,hjn,0.75,10,mse,0.250285387039185,18.1542649936611,72.291555996935,6.50882399348722
Union,svm,hjn,0.75,10,mse,0.344830989837646,19.4611180363617,71.2449577563125,6.7709941046185
