"Nu","Iter","Maxdepth","Accuracy","AccLCL","Time"
0.01,100,20,0.826666666666667,0.826666666666667,9.48648238182068
0.01,200,20,0.823333333333333,0.823333333333333,18.2820444107056
0.01,300,20,0.833333333333333,0.833333333333333,26.7463998794556
0.01,400,20,0.813333333333333,0.813333333333333,35.5731990337372
0.01,500,20,0.823333333333333,0.823333333333333,44.1387503147125
0.01,600,20,0.823333333333333,0.823333333333333,53.2180564403534
0.01,700,20,0.816666666666667,0.816666666666667,61.3186371326447
0.01,800,20,0.826666666666667,0.826666666666667,70.2044095993042
0.01,900,20,0.823333333333333,0.823333333333333,79.3760359287262
0.01,1000,20,0.816666666666667,0.816666666666667,88.5482456684113
0.01,1100,20,0.826666666666667,0.826666666666667,97.5610604286194
0.01,1200,20,0.82,0.82,107.268040418625
0.01,1300,20,0.82,0.82,116.253680944443
0.01,1400,20,0.816666666666667,0.816666666666667,125.916830778122
0.1,100,20,0.84,0.84,8.78443384170532
0.1,200,20,0.816666666666667,0.816666666666667,18.3015043735504
0.1,300,20,0.816666666666667,0.816666666666667,27.4699218273163
0.1,400,20,0.806666666666667,0.806666666666667,36.8882565498352
0.1,500,20,0.823333333333333,0.823333333333333,46.4252307415009
0.1,600,20,0.806666666666667,0.806666666666667,55.577728509903
0.1,700,20,0.816666666666667,0.816666666666667,65.4403886795044
0.1,800,20,0.793333333333333,0.793333333333333,75.4370062351227
0.1,900,20,0.813333333333333,0.813333333333333,84.5348579883575
0.1,1000,20,0.81,0.81,94.6828052997589
0.1,1100,20,0.813333333333333,0.813333333333333,103.524657249451
0.1,1200,20,0.813333333333333,0.813333333333333,113.43794465065
0.1,1300,20,0.806666666666667,0.806666666666667,122.635345220566
0.1,1400,20,0.786666666666667,0.786666666666667,132.637145042419
0.3,100,20,0.833333333333333,0.833333333333333,9.42311143875122
0.3,200,20,0.816666666666667,0.816666666666667,18.677766084671
0.3,300,20,0.79,0.79,27.9582359790802
0.3,400,20,0.806666666666667,0.806666666666667,37.5173530578613
0.3,500,20,0.8,0.8,46.6656527519226
0.3,600,20,0.8,0.8,56.9201238155365
0.3,700,20,0.806666666666667,0.806666666666667,65.8467984199524
0.3,800,20,0.803333333333333,0.803333333333333,75.1602141857147
0.3,900,20,0.816666666666667,0.816666666666667,85.0906918048859
0.3,1000,20,0.796666666666667,0.796666666666667,93.7378830909729
0.3,1100,20,0.8,0.8,104.382109165192
0.3,1200,20,0.813333333333333,0.813333333333333,113.584048748016
0.3,1300,20,0.806666666666667,0.806666666666667,123.476904153824
0.3,1400,20,0.806666666666667,0.806666666666667,132.609445095062
0.5,100,20,0.813333333333333,0.813333333333333,9.35262060165405
0.5,200,20,0.796666666666667,0.796666666666667,18.6310288906097
0.5,300,20,0.81,0.81,28.1471195220947
0.5,400,20,0.796666666666667,0.796666666666667,37.6503281593323
0.5,500,20,0.81,0.81,46.659542798996
0.5,600,20,0.803333333333333,0.803333333333333,55.9848823547363
0.5,700,20,0.81,0.81,65.7021934986115
0.5,800,20,0.81,0.81,75.1540477275848
0.5,900,20,0.803333333333333,0.803333333333333,85.4221467971802
0.5,1000,20,0.796666666666667,0.796666666666667,94.3697061538696
0.5,1100,20,0.813333333333333,0.813333333333333,104.338547706604
0.5,1200,20,0.813333333333333,0.813333333333333,114.017911672592
0.5,1300,20,0.79,0.79,123.434418916702
0.5,1400,20,0.8,0.8,132.460027694702
0.7,100,20,0.79,0.79,9.28600907325745
0.7,200,20,0.793333333333333,0.793333333333333,18.494665145874
0.7,300,20,0.82,0.82,27.9711081981659
0.7,400,20,0.803333333333333,0.803333333333333,37.4571335315704
0.7,500,20,0.813333333333333,0.813333333333333,46.1625146865845
0.7,600,20,0.803333333333333,0.803333333333333,55.917839050293
0.7,700,20,0.803333333333333,0.803333333333333,64.9797761440277
0.7,800,20,0.803333333333333,0.803333333333333,74.8343915939331
0.7,900,20,0.8,0.8,84.3559982776642
0.7,1000,20,0.81,0.81,93.3385190963745
0.7,1100,20,0.793333333333333,0.793333333333333,103.021003246307
0.7,1200,20,0.793333333333333,0.793333333333333,112.701601743698
0.7,1300,20,0.806666666666667,0.806666666666667,121.631193399429
0.7,1400,20,0.796666666666667,0.796666666666667,131.376193523407
1,100,20,0.816666666666667,0.816666666666667,9.14286541938782
1,200,20,0.803333333333333,0.803333333333333,18.2518486976624
1,300,20,0.826666666666667,0.826666666666667,27.7498633861542
1,400,20,0.81,0.81,36.649867773056
1,500,20,0.796666666666667,0.796666666666667,45.9847388267517
1,600,20,0.81,0.81,55.0088169574738
1,700,20,0.78,0.78,64.7376916408539
1,800,20,0.786666666666667,0.786666666666667,73.7512722015381
1,900,20,0.796666666666667,0.796666666666667,83.7376098632812
1,1000,20,0.816666666666667,0.816666666666667,92.5075905323029
1,1100,20,0.81,0.81,101.749627590179
1,1200,20,0.803333333333333,0.803333333333333,111.616412878036
1,1300,20,0.803333333333333,0.803333333333333,120.592490673065
1,1400,20,0.806666666666667,0.806666666666667,129.446758270264
0.01,100,1,0.733333333333333,0.733333333333333,4.78153896331787
0.01,200,1,0.733333333333333,0.733333333333333,9.25464129447937
0.01,300,1,0.733333333333333,0.733333333333333,14.0813548564911
0.01,400,1,0.733333333333333,0.733333333333333,18.8985517024994
0.01,500,1,0.733333333333333,0.733333333333333,23.5771067142487
0.01,600,1,0.74,0.74,28.7185006141663
0.01,700,1,0.74,0.74,33.5377726554871
0.01,800,1,0.756666666666667,0.756666666666667,38.5331408977509
0.01,900,1,0.773333333333333,0.773333333333333,43.9663338661194
0.01,1000,1,0.773333333333333,0.773333333333333,49.062070608139
0.01,1100,1,0.79,0.79,54.1236367225647
0.01,1200,1,0.796666666666667,0.796666666666667,59.2533826828003
0.01,1300,1,0.793333333333333,0.793333333333333,64.403354883194
0.01,1400,1,0.796666666666667,0.796666666666667,69.0657141208649
0.1,100,1,0.77,0.77,4.96390104293823
0.1,200,1,0.786666666666667,0.786666666666667,9.8272716999054
0.1,300,1,0.806666666666667,0.806666666666667,14.8142504692078
0.1,400,1,0.81,0.81,19.4997062683105
0.1,500,1,0.803333333333333,0.803333333333333,24.7042188644409
0.1,600,1,0.786666666666667,0.786666666666667,29.9066095352173
0.1,700,1,0.81,0.81,34.8985531330109
0.1,800,1,0.816666666666667,0.816666666666667,40.3838884830475
0.1,900,1,0.81,0.81,45.5257353782654
