"Nu","Iter","Maxdepth","Accuracy","AccLCL","Time"
1,700,10,0.912022490491153,0.909225201369417,1794.54114198685
1,800,10,0.908218951546221,0.906269070011159,2049.94430613518
1,900,10,0.911691747974202,0.910462325679662,2309.56347346306
1,1000,10,0.911939804861915,0.909553260662399,2569.18241715431
1,1100,10,0.912849346783529,0.908143781419627,2847.36676192284
1,1200,10,0.913345460558955,0.90990189224845,3086.34062004089
1,1300,10,0.910203406647925,0.906633973076966,3348.15297842026
1,1400,10,0.912022490491153,0.909110869885791,3605.5556166172
0.01,100,12,0.796097238299983,0.790570199153464,240.552500963211
0.01,200,12,0.806598313213164,0.800168388986703,501.905725240707
0.01,300,12,0.812717049776749,0.806958254295485,772.22572350502
0.01,400,12,0.816934016867868,0.813763947078289,1045.4033768177
0.01,500,12,0.820902927071275,0.815215532140804,1319.06516814232
0.01,600,12,0.821812468992889,0.817445010841351,1589.85924625397
0.01,700,12,0.821977840251364,0.81040416125039,1844.48459911346
0.01,800,12,0.822639325285265,0.817585439012046,2100.29089426994
0.01,900,12,0.825450636679345,0.823512314982843,2366.69766688347
0.01,1000,12,0.827435091781048,0.823235552575097,2610.8115773201
0.01,1100,12,0.825698693567058,0.817755259370597,2856.00330305099
0.01,1200,12,0.828179262444187,0.818539880082987,3093.59295153618
0.01,1300,12,0.829667603770465,0.822593718257863,3344.57143449783
0.01,1400,12,0.831321316355217,0.827805633761343,3603.70112109184
0.1,100,12,0.830577145692079,0.826062207392401,262.360511064529
0.1,200,12,0.834794112783198,0.830650897215004,511.103364706039
0.1,300,12,0.838184223581941,0.834110979652314,757.993798017502
0.1,400,12,0.844799073920953,0.841847658260073,981.445020914078
0.1,500,12,0.847196957168844,0.841345820987328,1228.3472840786
0.1,600,12,0.850173639821399,0.844729413528838,1463.3517074585
0.1,700,12,0.851579295518439,0.844948641604141,1710.35124707222
0.1,800,12,0.853481064990905,0.848924384760707,1966.1786468029
0.1,900,12,0.855796262609558,0.8513139309233,2210.74359893799
0.1,1000,12,0.857780717711262,0.855392269435201,2462.95265030861
0.1,1100,12,0.86241111294857,0.858553082546212,2677.63897800446
0.1,1200,12,0.86241111294857,0.857647144946581,2908.19758653641
0.1,1300,12,0.861501571026956,0.859811451072883,3186.7749569416
0.1,1400,12,0.864643624937986,0.863572249719019,3410.09887218475
0.3,100,12,0.840416735571358,0.834591661624686,256.080096483231
0.3,200,12,0.853481064990905,0.847396167388859,512.551770925522
0.3,300,12,0.855796262609558,0.848498827765871,749.22500705719
0.3,400,12,0.864395568050273,0.859785101112483,1016.27509427071
0.3,500,12,0.86869522077063,0.862247096750957,1254.12721371651
0.3,600,12,0.87464858607574,0.868947927325467,1527.18019270897
0.3,700,12,0.875971556143542,0.868759965846885,1798.89305305481
0.3,800,12,0.881676864560939,0.875411314475184,2060.51471853256
0.3,900,12,0.881924921448652,0.875291611929505,2314.84681415558
0.3,1000,12,0.886389945427485,0.884006748304359,2557.02361321449
0.3,1100,12,0.885893831652059,0.883958243785593,2846.56711173058
0.3,1200,12,0.885976517281297,0.883605082462567,3136.05888652802
0.3,1300,12,0.88969737059699,0.880405183549494,3396.43462228775
0.3,1400,12,0.887299487349099,0.884769638483814,3633.95777106285
0.5,100,12,0.855465520092608,0.849803972413371,265.203579425812
0.5,200,12,0.867372250702828,0.864483773485143,527.301907539368
0.5,300,12,0.874069786671077,0.869597701111445,786.653478145599
0.5,400,12,0.880271208863899,0.876859785695451,1074.12990522385
0.5,500,12,0.885811146022821,0.874940516372677,1338.14390230179
0.5,600,12,0.889035885563089,0.886919831124579,1612.22150468826
0.5,700,12,0.890524226889367,0.887976731092361,1853.89301919937
0.5,800,12,0.892343310732595,0.884707908306804,2123.15348482132
0.5,900,12,0.895733421531338,0.88924985459269,2404.09697842598
0.5,1000,12,0.897304448486853,0.885375267335248,2662.08434152603
0.5,1100,12,0.896477592194477,0.892869581351623,2971.72384858131
0.5,1200,12,0.899619646105507,0.892326607484113,3217.16569662094
0.5,1300,12,0.90582106829833,0.902988386514919,3442.26401233673
0.5,1400,12,0.904828840747478,0.901967182818451,3779.47618794441
0.7,100,12,0.85678849016041,0.854263196400171,265.653770923615
0.7,200,12,0.874483214817265,0.869351694702319,536.603133440018
0.7,300,12,0.886059202910534,0.878378470674496,792.677561759949
0.7,400,12,0.896560277823714,0.894823826689579,1080.20625901222
0.7,500,12,0.893583595171159,0.890915245777462,1339.49172115326
0.7,600,12,0.895237307755912,0.890345014043302,1608.17166519165
0.7,700,12,0.903505870679676,0.901550647431922,1882.47303748131
0.7,800,12,0.901438729948735,0.897458091864798,2182.37062120438
0.7,900,12,0.903588556308914,0.900599109544574,2484.00715756416
0.7,1000,12,0.906565238961468,0.902099877973855,2722.07045507431
0.7,1100,12,0.905324954522904,0.902231862443247,2996.44438076019
0.7,1200,12,0.907970894658508,0.904776718348966,3280.51946544647
0.7,1300,12,0.911526376715727,0.908704964674271,3553.07467889786
0.7,1400,12,0.910203406647925,0.905687140274028,3821.47621798515
1,100,12,0.873573672895651,0.868379859469381,273.12495136261
1,200,12,0.889614684967753,0.883068932190437,547.40385556221
