"Nu","Iter","Maxdepth","Accuracy","AccLCL","Time"
0.7,100,2,0.817307692307692,0.766818214174121,13.9005103111267
0.7,200,2,0.831730769230769,0.792115942028986,24.5598282814026
0.7,300,2,0.860576923076923,0.843213250517598,36.6581830978394
0.7,400,2,0.850961538461538,0.832761877185928,48.9710426330566
0.7,500,2,0.793269230769231,0.74151830171527,61.0815341472626
0.7,600,2,0.865384615384615,0.841842824942754,73.3573603630066
0.7,700,2,0.831730769230769,0.799579618034691,85.8017690181732
0.7,800,2,0.850961538461538,0.827545912873251,98.1209437847137
0.7,900,2,0.841346153846154,0.784430142091237,110.081972837448
0.7,1000,2,0.860576923076923,0.80956381773019,121.870831012726
0.7,1100,2,0.846153846153846,0.76418307392584,134.177572011948
0.7,1200,2,0.855769230769231,0.783500823362761,146.636329650879
0.7,1300,2,0.850961538461538,0.809482063831267,158.725524902344
0.7,1400,2,0.855769230769231,0.822934526218022,170.917945623398
1,100,2,0.826923076923077,0.800541062801932,12.1213622093201
1,200,2,0.822115384615385,0.795820743368335,24.3707799911499
1,300,2,0.870192307692308,0.815409247757074,36.2687158584595
1,400,2,0.836538461538462,0.788027590610478,48.4208693504333
1,500,2,0.879807692307692,0.838368408289868,60.6873302459717
1,600,2,0.8125,0.797769961966399,72.9982726573944
1,700,2,0.879807692307692,0.84135355262122,85.0717806816101
1,800,2,0.855769230769231,0.82911801242236,97.1467204093933
1,900,2,0.836538461538462,0.762445672939224,109.794463157654
1,1000,2,0.850961538461538,0.811473563241181,121.823731899261
1,1100,2,0.8125,0.756804637008888,134.275819301605
1,1200,2,0.875,0.82705577131134,146.129960298538
1,1300,2,0.855769230769231,0.838228584930786,158.252297878265
1,1400,2,0.865384615384615,0.83940713813563,171.564392328262
0.01,100,3,0.764423076923077,0.725391654651387,12.5241017341614
0.01,200,3,0.769230769230769,0.682903027058668,24.8868193626404
0.01,300,3,0.764423076923077,0.730883730682013,37.5307374000549
0.01,400,3,0.807692307692308,0.730890087081585,50.3220489025116
0.01,500,3,0.75,0.711367540311869,62.9627475738525
0.01,600,3,0.8125,0.739584863805596,75.4072263240814
0.01,700,3,0.817307692307692,0.780427368367103,88.4692907333374
0.01,800,3,0.826923076923077,0.797667875086299,100.661657571793
0.01,900,3,0.764423076923077,0.746559676131999,113.788659095764
0.01,1000,3,0.807692307692308,0.754267925809191,127.079474687576
0.01,1100,3,0.817307692307692,0.739213121214327,139.615126609802
0.01,1200,3,0.846153846153846,0.800927536231884,152.299601554871
0.01,1300,3,0.831730769230769,0.783762588883983,165.779760360718
0.01,1400,3,0.836538461538462,0.769071544294573,177.960562229156
0.1,100,3,0.822115384615385,0.788459014553964,12.6015741825104
0.1,200,3,0.841346153846154,0.749737829524898,25.3880875110626
0.1,300,3,0.855769230769231,0.821882892828454,37.7733008861542
0.1,400,3,0.836538461538462,0.811133086141693,50.2790281772614
0.1,500,3,0.822115384615385,0.725015728348846,63.0502920150757
0.1,600,3,0.875,0.851040909512852,75.9586906433105
0.1,700,3,0.870192307692308,0.837363562005579,88.6252524852753
0.1,800,3,0.865384615384615,0.781968227722995,101.558403253555
0.1,900,3,0.846153846153846,0.760949924417697,114.70570397377
0.1,1000,3,0.841346153846154,0.823685300207039,127.304247140884
0.1,1100,3,0.875,0.80792829673629,139.594916343689
0.1,1200,3,0.846153846153846,0.813872505011431,153.221824169159
0.1,1300,3,0.865384615384615,0.83015799341074,165.171990156174
0.1,1400,3,0.822115384615385,0.729429951690821,178.379737138748
0.3,100,3,0.841346153846154,0.807340875494729,12.8802511692047
0.3,200,3,0.836538461538462,0.781016612891086,25.0176618099213
0.3,300,3,0.836538461538462,0.770672815267591,37.6512944698334
0.3,400,3,0.831730769230769,0.740283365141602,50.36385846138
0.3,500,3,0.875,0.866094842218159,62.9680480957031
0.3,600,3,0.841346153846154,0.761550436589748,75.6061291694641
0.3,700,3,0.870192307692308,0.828595616667469,88.5065810680389
0.3,800,3,0.826923076923077,0.810434888036099,101.00831413269
0.3,900,3,0.855769230769231,0.854409937888199,114.243105649948
0.3,1000,3,0.817307692307692,0.735066427339652,126.473836183548
0.3,1100,3,0.817307692307692,0.785286694563365,140.321063995361
0.3,1200,3,0.850961538461538,0.81560272483859,152.75249671936
0.3,1300,3,0.841346153846154,0.800013375931455,166.092808008194
0.3,1400,3,0.889423076923077,0.880464404790848,178.433778047562
0.5,100,3,0.798076923076923,0.781558566320117,12.619594335556
0.5,200,3,0.831730769230769,0.749432874979209,25.4138991832733
0.5,300,3,0.8125,0.795997275512512,37.6994431018829
0.5,400,3,0.826923076923077,0.756297929049569,50.3302857875824
0.5,500,3,0.826923076923077,0.770135971996972,63.1142606735229
0.5,600,3,0.8125,0.730258109040718,75.9470360279083
0.5,700,3,0.841346153846154,0.826391546937584,88.835205078125
0.5,800,3,0.850961538461538,0.825589656155568,101.810414552689
0.5,900,3,0.822115384615385,0.760829473329861,114.686164140701
0.5,1000,3,0.860576923076923,0.840950192706873,126.586472034454
0.5,1100,3,0.822115384615385,0.756101290268287,139.519397258759
0.5,1200,3,0.783653846153846,0.749171551589402,153.198741436005
0.5,1300,3,0.865384615384615,0.847126025847758,165.032738685608
0.5,1400,3,0.860576923076923,0.818243229328343,177.311258077621
0.7,100,3,0.836538461538462,0.761489903557764,12.668283700943
0.7,200,3,0.850961538461538,0.776880654910655,25.1566026210785
0.7,300,3,0.802884615384615,0.768161120657102,37.4486899375916
0.7,400,3,0.836538461538462,0.778771344462641,50.1980412006378
0.7,500,3,0.822115384615385,0.795820743368335,62.8222994804382
0.7,600,3,0.802884615384615,0.754585421665986,75.5174350738525
0.7,700,3,0.831730769230769,0.811953720947565,88.4921600818634
0.7,800,3,0.831730769230769,0.805274584006552,101.205715894699
0.7,900,3,0.822115384615385,0.804031138648738,113.739771604538
0.7,1000,3,0.894230769230769,0.884227110456236,126.72850894928
0.7,1100,3,0.817307692307692,0.711185460477793,139.740833520889
0.7,1200,3,0.850961538461538,0.79769429549353,152.111107349396
0.7,1300,3,0.865384615384615,0.83940713813563,165.305429458618
0.7,1400,3,0.865384615384615,0.768790971323362,177.492385387421
1,100,3,0.846153846153846,0.837350490077875,12.7362530231476
1,200,3,0.836538461538462,0.770672815267591,25.1534793376923
1,300,3,0.846153846153846,0.821356349596213,37.5952515602112
1,400,3,0.850961538461538,0.827545912873251,50.1390171051025
1,500,3,0.817307692307692,0.777888198757764,62.9607090950012
1,600,3,0.826923076923077,0.751396086132057,75.4230194091797
1,700,3,0.826923076923077,0.795878577622239,87.9062502384186
1,800,3,0.870192307692308,0.842501147221381,101.239751815796
1,900,3,0.8125,0.767564748793043,114.251751184464
1,1000,3,0.817307692307692,0.777888198757764,127.054149866104
1,1100,3,0.831730769230769,0.811953720947565,142.480246782303
1,1200,3,0.846153846153846,0.752623335894904,154.552023887634
1,1300,3,0.850961538461538,0.815022774327122,169.041415214539
1,1400,3,0.807692307692308,0.744087714949674,178.594003915787
0.01,100,4,0.764423076923077,0.697004153482228,12.8117909431458
0.01,200,4,0.817307692307692,0.742541415101961,24.9388957023621
0.01,300,4,0.774038461538462,0.706442744790399,37.6116232872009
0.01,400,4,0.798076923076923,0.75620005060623,50.3927528858185
0.01,500,4,0.774038461538462,0.732970362041419,62.5438144207001
0.01,600,4,0.798076923076923,0.690843145413541,75.698299407959
0.01,700,4,0.836538461538462,0.78517404097077,88.7620537281036
0.01,800,4,0.8125,0.686081290133015,101.208367109299
0.01,900,4,0.846153846153846,0.772297979277665,114.675349712372
0.01,1000,4,0.802884615384615,0.711194253067722,127.375893831253
0.01,1100,4,0.826923076923077,0.797667875086299,140.871448278427
0.01,1200,4,0.817307692307692,0.726957967028127,153.042694330215
0.01,1300,4,0.836538461538462,0.783219132473574,166.484543085098
0.01,1400,4,0.793269230769231,0.6604119063677,178.434718370438
0.1,100,4,0.841346153846154,0.78377086021176,12.7072961330414
0.1,200,4,0.846153846153846,0.783467740391557,25.296558380127
0.1,300,4,0.807692307692308,0.761436668516821,38.1184203624725
0.1,400,4,0.817307692307692,0.776214201403858,50.9278779029846
0.1,500,4,0.870192307692308,0.827892953757129,63.680104970932
0.1,600,4,0.846153846153846,0.813872505011431,76.7708992958069
0.1,700,4,0.870192307692308,0.811434206743808,89.3814325332642
0.1,800,4,0.807692307692308,0.774065968970167,102.919102907181
0.1,900,4,0.855769230769231,0.795738285361757,115.740329265594
0.1,1000,4,0.865384615384615,0.832368257322403,128.19272851944
0.1,1100,4,0.831730769230769,0.794788545482428,141.331940412521
0.1,1200,4,0.846153846153846,0.75591085121378,154.101103305817
0.1,1300,4,0.855769230769231,0.780299363336727,167.090380191803
0.1,1400,4,0.865384615384615,0.840045545831545,179.409250020981
0.3,100,4,0.860576923076923,0.843213250517598,12.8059113025665
0.3,200,4,0.860576923076923,0.825556935817805,25.4834976196289
0.3,300,4,0.850961538461538,0.797387846918866,38.087620973587
0.3,400,4,0.860576923076923,0.818243229328343,51.0921423435211
0.3,500,4,0.841346153846154,0.839850931677019,63.6734364032745
0.3,600,4,0.846153846153846,0.807006211180124,76.7915096282959
0.3,700,4,0.846153846153846,0.771124866427675,89.5092976093292
0.3,800,4,0.860576923076923,0.80956381773019,102.254937648773
0.3,900,4,0.846153846153846,0.811037121132342,114.989773511887
0.3,1000,4,0.822115384615385,0.730794461449227,127.919015169144
0.3,1100,4,0.850961538461538,0.797387846918866,140.644101142883
0.3,1200,4,0.841346153846154,0.756148282566834,153.85543346405
0.3,1300,4,0.865384615384615,0.771874498574839,166.996426582336
0.3,1400,4,0.850961538461538,0.840719340584451,179.383374214172
0.5,100,4,0.822115384615385,0.748010445665384,12.7765555381775
0.5,200,4,0.846153846153846,0.726728192683715,25.6682958602905
0.5,300,4,0.846153846153846,0.819826831113532,38.2793142795563
0.5,400,4,0.841346153846154,0.823685300207039,50.6897256374359
0.5,500,4,0.870192307692308,0.82636059301343,63.5324845314026
0.5,600,4,0.875,0.840076489989373,76.7613055706024
0.5,700,4,0.860576923076923,0.788485856786303,89.5039868354797
0.5,800,4,0.846153846153846,0.83527950310559,102.748420715332
