"NumTrees","MinNode","Shrinkage","IntDepth","Accuracy","Acc.LCL","Time"
9500,7,0.001,13,0.848809523809524,0.820327560706145,644.090747117996
9500,8,0.001,13,0.852380952380952,0.837139682870301,644.988510847092
9500,9,0.001,13,0.846428571428571,0.828204655518123,644.973358631134
9500,10,0.001,13,0.851190476190476,0.821830008942201,647.952614307404
9500,11,0.001,13,0.855952380952381,0.83875311309544,655.298048734665
9500,12,0.001,13,0.848809523809524,0.821631782372281,658.177669048309
9500,13,0.001,13,0.838095238095238,0.810008951295933,660.792905330658
9500,14,0.001,13,0.845238095238095,0.811694315111443,670.647562742233
9500,15,0.001,13,0.835714285714286,0.813770474190361,663.945531368256
10000,5,0.001,13,0.848809523809524,0.80960304286379,667.430845022202
10000,6,0.001,13,0.848809523809524,0.827637389782476,670.957840204239
10000,7,0.001,13,0.845238095238095,0.819442124646442,675.339424848557
10000,8,0.001,13,0.85,0.827138095734024,678.70884513855
10000,9,0.001,13,0.841666666666667,0.808659185285009,683.101889848709
10000,10,0.001,13,0.839285714285714,0.824024612275443,686.257376670837
10000,11,0.001,13,0.845238095238095,0.828923290933226,687.885674715042
10000,12,0.001,13,0.848809523809524,0.824698412698413,691.022633552551
10000,13,0.001,13,0.841666666666667,0.809588636801976,704.684805870056
10000,14,0.001,13,0.845238095238095,0.818295082675913,700.970233678818
10000,15,0.001,13,0.845238095238095,0.822165477722687,703.70287156105
10500,5,0.001,13,0.842857142857143,0.826993526592632,700.329455137253
10500,6,0.001,13,0.846428571428571,0.829584698673688,704.314491271973
10500,7,0.001,13,0.851190476190476,0.828052404309475,662.767734766006
10500,8,0.001,13,0.847619047619048,0.829279318095078,645.362277269363
10500,9,0.001,13,0.842857142857143,0.816642454673927,647.649540901184
10500,10,0.001,13,0.845238095238095,0.833188813716561,653.383875608444
10500,11,0.001,13,0.84047619047619,0.819839414002868,662.919408798218
10500,12,0.001,13,0.835714285714286,0.812174458680297,664.122954845428
10500,13,0.001,13,0.838095238095238,0.818980251408102,739.328170776367
10500,14,0.001,13,0.846428571428571,0.827875677407875,738.31417298317
10500,15,0.001,13,0.845238095238095,0.827164172955794,744.05418419838
11000,5,0.001,13,0.855952380952381,0.83583513204246,735.338055610657
11000,6,0.001,13,0.853571428571429,0.824459257259097,665.94130563736
