"NumTrees","MinNode","Shrinkage","IntDepth","MSE","MSE.UCL","Time"
1900,9,-2,7,NA,NA,21.8235757350922
1900,10,-2,7,NA,NA,21.0890123844147
1900,11,-2,7,NA,NA,20.9499382972717
1900,12,-2,7,NA,NA,20.806779384613
1950,5,-2,7,NA,NA,20.8867118358612
1950,6,-2,7,NA,NA,21.0194194316864
1950,7,-2,7,NA,NA,21.1419336795807
1950,8,-2,7,NA,NA,20.9484269618988
1950,9,-2,7,NA,NA,20.8922436237335
1950,10,-2,7,NA,NA,20.9968600273132
1950,11,-2,7,NA,NA,20.9229528903961
1950,12,-2,7,NA,NA,21.0244498252869
2000,5,-2,7,NA,NA,21.1880040168762
2000,6,-2,7,NA,NA,21.1786031723022
2000,7,-2,7,NA,NA,21.2313468456268
2000,8,-2,7,NA,NA,21.2642443180084
2000,9,-2,7,NA,NA,21.1852779388428
2000,10,-2,7,NA,NA,21.2653243541718
2000,11,-2,7,NA,NA,21.2651877403259
2000,12,-2,7,NA,NA,21.1746776103973
50,5,-3,7,7.43197444846489e+60,7.95752859006907e+60,1.44091248512268
50,6,-3,7,7.42859873559409e+60,7.91450228715619e+60,1.55204558372498
50,7,-3,7,7.26825223728936e+60,7.57643939386535e+60,1.42134118080139
50,8,-3,7,7.42647635547377e+60,7.86868801919047e+60,1.48980307579041
50,9,-3,7,7.55084333983777e+60,7.8176241036562e+60,1.45667243003845
50,10,-3,7,7.43440725893814e+60,7.67474737854938e+60,1.55230140686035
50,11,-3,7,7.05061258624096e+60,7.57452894747267e+60,1.44900345802307
50,12,-3,7,7.18056525125074e+60,7.53498955134513e+60,1.44028997421265
100,5,-3,7,1.17247642549311e+121,1.25401582578418e+121,2.61955165863037
100,6,-3,7,1.13967763128558e+121,1.27366833537637e+121,2.72946929931641
100,7,-3,7,1.16730244739334e+121,1.2522608825945e+121,2.61770915985107
100,8,-3,7,1.17501523258446e+121,1.22614127133226e+121,2.60840511322021
100,9,-3,7,1.19531528961742e+121,1.29468167809033e+121,2.57584381103516
100,10,-3,7,1.15618770476678e+121,1.20692544080384e+121,2.67700529098511
100,11,-3,7,1.11524233071472e+121,1.18335223017582e+121,2.56561708450317
100,12,-3,7,1.24250591537673e+121,1.31707476132541e+121,2.57399320602417
150,5,-3,7,1.7412358651363e+181,Inf,3.7073290348053
150,6,-3,7,1.82049444523976e+181,Inf,3.71348643302917
150,7,-3,7,1.91194401757908e+181,Inf,3.80133128166199
150,8,-3,7,1.91021012993872e+181,Inf,3.71874523162842
150,9,-3,7,1.87498950063651e+181,Inf,3.70082950592041
150,10,-3,7,1.91416567042391e+181,Inf,3.73030638694763
150,11,-3,7,1.8054159814021e+181,Inf,3.80232262611389
150,12,-3,7,1.83776958100138e+181,Inf,3.71964454650879
200,5,-3,7,3.10436323578496e+241,Inf,4.89237904548645
