"NumTrees","MinNode","Shrinkage","IntDepth","MSE","MSE.UCL","Time"
20000,15,0.001,17,703531980.624869,954946592.530965,7308.63950800896
500,5,0.1,19,1140494945.13148,1961809476.02906,206.102740049362
500,6,0.1,19,1072709340.06854,1600959462.84213,202.631387710571
500,7,0.1,19,792412841.893069,894064785.214186,204.330174922943
500,8,0.1,19,793662309.58158,976618910.775148,202.005751609802
500,9,0.1,19,811484573.012131,825059490.25648,206.938000202179
500,10,0.1,19,839929169.938544,972511459.991275,204.30690073967
500,11,0.1,19,916526538.873876,1301491002.80604,206.422870397568
500,12,0.1,19,959278104.070721,1405360230.22825,204.554707527161
500,13,0.1,19,954965640.671255,1365402184.49952,208.16389131546
500,14,0.1,19,854416347.904621,1055704192.22736,209.235095262527
500,15,0.1,19,760353030.289995,812473362.813489,208.918383836746
1000,5,0.1,19,1012523215.14189,1491025341.82325,397.013899803162
1000,6,0.1,19,897493190.398519,987614189.541099,409.449538946152
1000,7,0.1,19,977166175.696056,1613186677.32155,405.998250007629
1000,8,0.1,19,983307008.473832,1522302911.17497,407.655117034912
1000,9,0.1,19,1043202968.79782,1646594523.25489,407.298765659332
1000,10,0.1,19,845774514.243762,983256746.960118,409.712337017059
1000,11,0.1,19,769365522.464933,862830982.281361,411.339095830917
1000,12,0.1,19,932383937.663553,1445192074.61952,416.092044353485
1000,13,0.1,19,782543492.393235,816765109.302925,417.609112501144
1000,14,0.1,19,1043253564.35915,1624649756.01102,418.456502437592
1000,15,0.1,19,790184953.907903,942454191.224169,416.109116077423
1500,5,0.1,19,802503703.32516,846084955.705622,598.913385152817
1500,6,0.1,19,760236036.186229,913915465.017525,610.102954149246
1500,7,0.1,19,1143077151.15174,1710325674.95023,611.750838756561
1500,8,0.1,19,922202448.395473,1025585847.87517,643.784467697144
1500,9,0.1,19,767966923.183161,820423362.67753,623.959400892258
1500,10,0.1,19,788653479.762363,978139520.531849,620.503042697906
1500,11,0.1,19,1210892383.95448,1782791132.68086,620.107337236404
1500,12,0.1,19,917759304.354188,1563763361.02437,622.071408033371
1500,13,0.1,19,857551784.242262,902786184.226676,629.076727151871
1500,14,0.1,19,885831902.941685,1081558838.14177,630.291405677795
1500,15,0.1,19,793015925.468621,874142231.374425,628.979244232178
2000,5,0.1,19,860443160.413278,985856698.861652,804.385781764984
2000,6,0.1,19,886232193.905735,1254001511.63171,809.840664863586
2000,7,0.1,19,929037064.34806,1454661177.99635,815.847731590271
2000,8,0.1,19,822913594.901545,1057658056.41487,824.906793832779
2000,9,0.1,19,808995609.54932,917325113.290958,827.852032423019
2000,10,0.1,19,972557393.229074,1381521272.29025,826.881810426712
2000,11,0.1,19,928565718.572256,1412676674.16017,835.388390541077
2000,12,0.1,19,1006980808.55414,1472887123.97397,836.068312883377
2000,13,0.1,19,1045899238.58992,1326186031.46505,843.769282817841
2000,14,0.1,19,960047156.535834,1524429267.98019,847.81587934494
2000,15,0.1,19,738997189.238191,964908558.922668,852.310478210449
2500,5,0.1,19,1118481561.35432,1673558308.82514,1033.84295296669
2500,6,0.1,19,772564782.003067,846892738.734836,1014.64429450035
2500,7,0.1,19,1001563032.59808,1505661111.82595,1037.93943572044
2500,8,0.1,19,846909552.785182,1079703787.89246,1051.11414670944
2500,9,0.1,19,722951248.182136,1018082753.27894,1057.5065612793
2500,10,0.1,19,765700586.570528,818147387.801769,1065.0249581337
2500,11,0.1,19,811911909.870562,1103591606.69664,1062.80116629601
2500,12,0.1,19,812675326.725246,828273806.488382,1073.11439108849
2500,13,0.1,19,939284622.634545,977392997.468629,1069.59925699234
2500,14,0.1,19,1134765507.37143,1578020703.52658,1040.43930196762
2500,15,0.1,19,958317656.102357,1535964151.10806,1051.40053987503
3000,5,0.1,19,906274969.525564,1416193061.57625,1213.8755812645
3000,6,0.1,19,1046521505.00926,1657080671.07911,1217.05967330933
3000,7,0.1,19,838388604.275301,1002341029.02185,1234.27323198318
3000,8,0.1,19,785428283.733127,1068683403.7585,1241.68850398064
