"NumTrees","MinNode","Shrinkage","IntDepth","MSE","MSE.UCL","Time"
800,5,-1,7,Inf,NA,22.1300716400146
800,6,-1,7,Inf,NA,20.4032807350159
800,7,-1,7,Inf,NA,20.807826757431
800,8,-1,7,Inf,NA,20.2704689502716
800,9,-1,7,Inf,NA,20.2964403629303
800,10,-1,7,Inf,NA,20.3955993652344
800,11,-1,7,Inf,NA,20.2474174499512
800,12,-1,7,Inf,NA,20.1382510662079
850,5,-1,7,Inf,NA,21.5805881023407
850,6,-1,7,Inf,NA,21.3393986225128
850,7,-1,7,Inf,NA,21.5797312259674
850,8,-1,7,Inf,NA,21.3614473342896
850,9,-1,7,Inf,NA,21.5974626541138
850,10,-1,7,Inf,NA,21.2582974433899
850,11,-1,7,Inf,NA,21.1377880573273
850,12,-1,7,Inf,NA,21.2452206611633
900,5,-1,7,Inf,NA,22.6439497470856
900,6,-1,7,Inf,NA,22.5991611480713
900,7,-1,7,Inf,NA,22.5475857257843
900,8,-1,7,Inf,NA,22.6571834087372
900,9,-1,7,Inf,NA,22.5601589679718
900,10,-1,7,Inf,NA,23.3236033916473
900,11,-1,7,Inf,NA,22.5831336975098
900,12,-1,7,Inf,NA,22.5837824344635
950,5,-1,7,Inf,NA,23.4670779705048
950,6,-1,7,Inf,NA,23.1352171897888
950,7,-1,7,Inf,NA,23.8313708305359
950,8,-1,7,Inf,NA,23.3233399391174
950,9,-1,7,Inf,NA,22.7369568347931
950,10,-1,7,Inf,NA,22.8696286678314
950,11,-1,7,Inf,NA,22.6666259765625
950,12,-1,7,Inf,NA,22.6793866157532
1000,5,-1,7,Inf,NA,23.9899942874908
1000,6,-1,7,Inf,NA,23.9195466041565
1000,7,-1,7,Inf,NA,23.8067970275879
1000,8,-1,7,Inf,NA,23.7783722877502
1000,9,-1,7,Inf,NA,23.8082218170166
1000,10,-1,7,Inf,NA,23.8843319416046
1000,11,-1,7,Inf,NA,23.7423226833344
1000,12,-1,7,Inf,NA,23.6898958683014
1050,5,-1,7,NA,NA,24.6747524738312
1050,6,-1,7,NA,NA,24.1921634674072
1050,7,-1,7,NA,NA,24.3483719825745
1050,8,-1,7,NA,NA,24.823792219162
1050,9,-1,7,NA,NA,23.976423740387
1050,10,-1,7,NA,NA,24.1224195957184
1050,11,-1,7,NA,NA,24.1743814945221
1050,12,-1,7,NA,NA,24.1140143871307
1100,5,-1,7,NA,NA,24.4420275688171
1100,6,-1,7,NA,NA,24.3439860343933
1100,7,-1,7,NA,NA,24.2656247615814
1100,8,-1,7,NA,NA,24.57701587677
1100,9,-1,7,NA,NA,24.5996491909027
1100,10,-1,7,NA,NA,24.2766425609589
1100,11,-1,7,NA,NA,23.6524310112
1100,12,-1,7,NA,NA,23.9458086490631
1150,5,-1,7,NA,NA,24.1419186592102
1150,6,-1,7,NA,NA,24.2492306232452
1150,7,-1,7,NA,NA,23.9103746414185
1150,8,-1,7,NA,NA,23.9881558418274
1150,9,-1,7,NA,NA,24.2100746631622
1150,10,-1,7,NA,NA,23.916072845459
1150,11,-1,7,NA,NA,23.6685531139374
1150,12,-1,7,NA,NA,24.24396276474
1200,5,-1,7,NA,NA,24.3822438716888
1200,6,-1,7,NA,NA,24.4914553165436
1200,7,-1,7,NA,NA,24.4106583595276
1200,8,-1,7,NA,NA,24.8086681365967
1200,9,-1,7,NA,NA,24.7661471366882
1200,10,-1,7,NA,NA,24.6844801902771
1200,11,-1,7,NA,NA,24.7760934829712
1200,12,-1,7,NA,NA,24.6987550258636
1250,5,-1,7,NA,NA,25.1355257034302
1250,6,-1,7,NA,NA,24.6435060501099
1250,7,-1,7,NA,NA,24.876366853714
1250,8,-1,7,NA,NA,24.5425040721893
1250,9,-1,7,NA,NA,24.9948558807373
1250,10,-1,7,NA,NA,24.8809187412262
1250,11,-1,7,NA,NA,25.1080827713013
1250,12,-1,7,NA,NA,24.753653049469
1300,5,-1,7,NA,NA,24.9530186653137
1300,6,-1,7,NA,NA,25.0997140407562
1300,7,-1,7,NA,NA,25.000307559967
1300,8,-1,7,NA,NA,24.7770235538483
1300,9,-1,7,NA,NA,24.6408932209015
1300,10,-1,7,Inf,NA,24.6034326553345
1300,11,-1,7,NA,NA,24.4297680854797
1300,12,-1,7,NA,NA,24.6842772960663
1350,5,-1,7,NA,NA,24.7250800132751
1350,6,-1,7,Inf,NA,24.7271614074707
1350,7,-1,7,NA,NA,24.7308011054993
1350,8,-1,7,NA,NA,24.9798874855042
1350,9,-1,7,NA,NA,25.080554485321
1350,10,-1,7,NA,NA,24.7852323055267
1350,11,-1,7,NA,NA,24.8120210170746
1350,12,-1,7,NA,NA,24.6471140384674
1400,5,-1,7,NA,NA,25.1457707881927
1400,6,-1,7,NA,NA,25.3186480998993
1400,7,-1,7,NA,NA,25.0700471401215
1400,8,-1,7,NA,NA,24.9627840518951
