"NumTrees","MinNode","Shrinkage","IntDepth","MSE","MSE.UCL","Time"
1650,9,-3,1,Inf,NA,0.857789516448975
1650,10,-3,1,Inf,NA,0.205612897872925
1650,11,-3,1,NA,NA,0.00324678421020508
1650,12,-3,1,NA,NA,0.00309014320373535
1700,5,-3,1,NA,NA,0.187260389328003
1700,6,-3,1,Inf,NA,0.191586971282959
1700,7,-3,1,Inf,NA,0.187694787979126
1700,8,-3,1,Inf,NA,0.191925048828125
1700,9,-3,1,Inf,NA,0.184899568557739
1700,10,-3,1,Inf,NA,0.184958934783936
1700,11,-3,1,NA,NA,0.00300049781799316
1700,12,-3,1,NA,NA,0.00281381607055664
1750,5,-3,1,NA,NA,0.194013118743896
1750,6,-3,1,NA,NA,0.190572738647461
1750,7,-3,1,Inf,NA,0.195476055145264
1750,8,-3,1,Inf,NA,0.302138566970825
1750,9,-3,1,Inf,NA,0.192244291305542
1750,10,-3,1,Inf,NA,0.194255590438843
1750,11,-3,1,NA,NA,0.00329160690307617
1750,12,-3,1,NA,NA,0.00330328941345215
1800,5,-3,1,NA,NA,0.301062822341919
1800,6,-3,1,Inf,NA,0.1905837059021
1800,7,-3,1,Inf,NA,0.203333139419556
1800,8,-3,1,Inf,NA,0.20427131652832
1800,9,-3,1,Inf,NA,0.207141876220703
1800,10,-3,1,Inf,NA,0.186879634857178
1800,11,-3,1,NA,NA,0.00355029106140137
1800,12,-3,1,NA,NA,0.00310564041137695
1850,5,-3,1,NA,NA,0.198416709899902
1850,6,-3,1,NA,NA,0.197879076004028
1850,7,-3,1,Inf,NA,0.191449165344238
1850,8,-3,1,Inf,NA,0.195391893386841
1850,9,-3,1,Inf,NA,0.198582649230957
1850,10,-3,1,Inf,NA,0.207452058792114
1850,11,-3,1,NA,NA,0.00306081771850586
1850,12,-3,1,NA,NA,0.00302815437316895
1900,5,-3,1,NA,NA,0.202078819274902
1900,6,-3,1,NA,NA,0.20127272605896
1900,7,-3,1,Inf,NA,0.196716547012329
1900,8,-3,1,Inf,NA,0.200753688812256
1900,9,-3,1,Inf,NA,0.198508977890015
1900,10,-3,1,Inf,NA,0.208297729492188
1900,11,-3,1,NA,NA,0.00403237342834473
1900,12,-3,1,NA,NA,0.00340461730957031
1950,5,-3,1,NA,NA,0.220220565795898
1950,6,-3,1,Inf,NA,0.204658985137939
1950,7,-3,1,Inf,NA,0.215285539627075
1950,8,-3,1,Inf,NA,0.206805944442749
1950,9,-3,1,Inf,NA,0.200304746627808
1950,10,-3,1,Inf,NA,0.202104330062866
1950,11,-3,1,NA,NA,0.00318408012390137
1950,12,-3,1,NA,NA,0.00296354293823242
2000,5,-3,1,NA,NA,0.208678245544434
2000,6,-3,1,Inf,NA,0.207866668701172
2000,7,-3,1,Inf,NA,0.209830522537231
2000,8,-3,1,Inf,NA,0.221673488616943
2000,9,-3,1,Inf,NA,0.206447124481201
2000,10,-3,1,Inf,NA,0.206151008605957
2000,11,-3,1,NA,NA,0.00330805778503418
2000,12,-3,1,NA,NA,0.00294303894042969
50,5,-1,3,4.68613563240939e+31,6.30058580356273e+31,0.063922643661499
50,6,-1,3,4.87013967662488e+31,6.28715342451822e+31,0.066014289855957
50,7,-1,3,1.33575333599641e+31,1.95697345410766e+31,0.0587806701660156
50,8,-1,3,6.70603759076938e+30,9.78522200235007e+30,0.0586364269256592
50,9,-1,3,6.01925114592745e+30,8.26476114447476e+30,0.0683913230895996
50,10,-1,3,3.03813797589427e+30,5.04720158624908e+30,0.0580005645751953
50,11,-1,3,NA,NA,0.00310325622558594
50,12,-1,3,NA,NA,0.00299882888793945
100,5,-1,3,3.36654983693556e+61,4.48814063547055e+61,0.0689651966094971
100,6,-1,3,3.10893170830513e+61,4.89583816685372e+61,0.0725061893463135
100,7,-1,3,9.85577627270434e+60,1.49392704803242e+61,0.07257080078125
