"NumTrees","MinNode","Shrinkage","IntDepth","MSE","MSE.UCL","Time"
1650,9,-3,11,NA,NA,0.0409083366394043
1650,10,-3,11,NA,NA,0.417358160018921
1650,11,-3,11,NA,NA,0.00401926040649414
1650,12,-3,11,NA,NA,0.00358295440673828
1700,5,-3,11,Inf,NA,0.444341659545898
1700,6,-3,11,NA,NA,0.0037834644317627
1700,7,-3,11,NA,NA,0.00476264953613281
1700,8,-3,11,NA,NA,0.00364422798156738
1700,9,-3,11,NA,NA,0.0036778450012207
1700,10,-3,11,NA,NA,0.00390005111694336
1700,11,-3,11,NA,NA,0.00357961654663086
1700,12,-3,11,NA,NA,0.00419306755065918
1750,5,-3,11,Inf,NA,0.282654762268066
1750,6,-3,11,NA,NA,0.00403046607971191
1750,7,-3,11,NA,NA,0.00353002548217773
1750,8,-3,11,NA,NA,0.003814697265625
1750,9,-3,11,NA,NA,0.00350713729858398
1750,10,-3,11,NA,NA,0.00387763977050781
1750,11,-3,11,NA,NA,0.00358915328979492
1750,12,-3,11,NA,NA,0.00356292724609375
1800,5,-3,11,Inf,NA,0.390746116638184
1800,6,-3,11,NA,NA,0.00371980667114258
1800,7,-3,11,NA,NA,0.0037074089050293
1800,8,-3,11,NA,NA,0.00352048873901367
1800,9,-3,11,NA,NA,0.00366902351379395
1800,10,-3,11,NA,NA,0.00379109382629395
1800,11,-3,11,NA,NA,0.0034940242767334
1800,12,-3,11,NA,NA,0.00380396842956543
1850,5,-3,11,Inf,NA,0.289505004882812
1850,6,-3,11,NA,NA,0.00379157066345215
1850,7,-3,11,NA,NA,0.00360751152038574
1850,8,-3,11,NA,NA,0.00368738174438477
1850,9,-3,11,NA,NA,0.00367403030395508
1850,10,-3,11,NA,NA,0.00350213050842285
1850,11,-3,11,NA,NA,0.00382685661315918
1850,12,-3,11,NA,NA,0.00359249114990234
1900,5,-3,11,Inf,NA,0.289045333862305
1900,6,-3,11,NA,NA,0.00371074676513672
1900,7,-3,11,NA,NA,0.00374698638916016
1900,8,-3,11,NA,NA,0.00345683097839355
1900,9,-3,11,NA,NA,0.00377845764160156
1900,10,-3,11,NA,NA,0.00353407859802246
1900,11,-3,11,NA,NA,0.00359582901000977
1900,12,-3,11,NA,NA,0.00365567207336426
1950,5,-3,11,Inf,NA,0.304790496826172
1950,6,-3,11,NA,NA,0.00379657745361328
1950,7,-3,11,NA,NA,0.00379252433776855
1950,8,-3,11,NA,NA,0.00369524955749512
1950,9,-3,11,NA,NA,0.00380468368530273
1950,10,-3,11,NA,NA,0.00389242172241211
1950,11,-3,11,NA,NA,0.00373005867004395
1950,12,-3,11,NA,NA,0.00410699844360352
2000,5,-3,11,Inf,NA,0.295183181762695
2000,6,-3,11,NA,NA,0.00388646125793457
2000,7,-3,11,NA,NA,0.00347447395324707
2000,8,-3,11,NA,NA,0.00350141525268555
2000,9,-3,11,NA,NA,0.00380110740661621
2000,10,-3,11,NA,NA,0.00356721878051758
2000,11,-3,11,NA,NA,0.00355267524719238
2000,12,-3,11,NA,NA,0.00369596481323242
50,5,-1,13,1.00648173567742e+28,1.81745799118515e+28,0.103756189346313
50,6,-1,13,NA,NA,0.00372862815856934
50,7,-1,13,NA,NA,0.00371837615966797
50,8,-1,13,NA,NA,0.00358009338378906
50,9,-1,13,NA,NA,0.00353837013244629
50,10,-1,13,NA,NA,0.00367498397827148
50,11,-1,13,NA,NA,0.00354552268981934
50,12,-1,13,NA,NA,0.00360989570617676
100,5,-1,13,1.18189650165434e+58,1.91097701328769e+58,0.115596532821655
100,6,-1,13,NA,NA,0.00390410423278809
100,7,-1,13,NA,NA,0.00349307060241699
100,8,-1,13,NA,NA,0.00354099273681641
100,9,-1,13,NA,NA,0.00380373001098633
100,10,-1,13,NA,NA,0.0034787654876709
100,11,-1,13,NA,NA,0.0036308765411377
100,12,-1,13,NA,NA,0.00361108779907227
150,5,-1,13,2.92544816013227e+88,4.71537435069209e+88,0.116508722305298
150,6,-1,13,NA,NA,0.00390219688415527
150,7,-1,13,NA,NA,0.00399231910705566
150,8,-1,13,NA,NA,0.00350093841552734
150,9,-1,13,NA,NA,0.00630712509155273
150,10,-1,13,NA,NA,0.00373125076293945
150,11,-1,13,NA,NA,0.00398063659667969
150,12,-1,13,NA,NA,0.00415420532226562
200,5,-1,13,1.73118454010138e+118,2.75365774451219e+118,0.122448921203613
200,6,-1,13,NA,NA,0.00367283821105957
200,7,-1,13,NA,NA,0.00372123718261719
200,8,-1,13,NA,NA,0.00372982025146484
200,9,-1,13,NA,NA,0.00425839424133301
200,10,-1,13,NA,NA,0.00440287590026855
200,11,-1,13,NA,NA,0.00366091728210449
200,12,-1,13,NA,NA,0.0037086009979248
250,5,-1,13,3.15278229118229e+148,4.97821969836517e+148,0.135758876800537
250,6,-1,13,NA,NA,0.00363492965698242
250,7,-1,13,NA,NA,0.00368380546569824
250,8,-1,13,NA,NA,0.003662109375
250,9,-1,13,NA,NA,0.00352764129638672
250,10,-1,13,NA,NA,0.00364589691162109
250,11,-1,13,NA,NA,0.00372672080993652
250,12,-1,13,NA,NA,0.00360393524169922
300,5,-1,13,5.84282444599416e+178,Inf,0.142239332199097
300,6,-1,13,NA,NA,0.00395059585571289
300,7,-1,13,NA,NA,0.00346994400024414
300,8,-1,13,NA,NA,0.0036165714263916
300,9,-1,13,NA,NA,0.0037541389465332
300,10,-1,13,NA,NA,0.00396966934204102
300,11,-1,13,NA,NA,0.00382113456726074
300,12,-1,13,NA,NA,0.00350713729858398
350,5,-1,13,4.8079772165815e+208,Inf,0.165689706802368
350,6,-1,13,NA,NA,0.012138843536377
350,7,-1,13,NA,NA,0.0042564868927002
350,8,-1,13,NA,NA,0.0039985179901123
350,9,-1,13,NA,NA,0.00418353080749512
350,10,-1,13,NA,NA,0.00390362739562988
350,11,-1,13,NA,NA,0.00383210182189941
350,12,-1,13,NA,NA,0.0042719841003418
400,5,-1,13,6.63086710106867e+238,Inf,0.159043788909912
400,6,-1,13,NA,NA,0.00372099876403809
400,7,-1,13,NA,NA,0.00355243682861328
400,8,-1,13,NA,NA,0.00380730628967285
400,9,-1,13,NA,NA,0.00350451469421387
400,10,-1,13,NA,NA,0.00354790687561035
400,11,-1,13,NA,NA,0.00369143486022949
400,12,-1,13,NA,NA,0.00359272956848145
450,5,-1,13,7.38263572365654e+268,Inf,0.162736892700195
450,6,-1,13,NA,NA,0.00368404388427734
450,7,-1,13,NA,NA,0.00436019897460938
450,8,-1,13,NA,NA,0.00381565093994141
450,9,-1,13,NA,NA,0.00385379791259766
450,10,-1,13,NA,NA,0.00358057022094727
450,11,-1,13,NA,NA,0.00352144241333008
450,12,-1,13,NA,NA,0.00400829315185547
500,5,-1,13,5.39065794733722e+298,Inf,0.172536611557007
500,6,-1,13,NA,NA,0.00377821922302246
500,7,-1,13,NA,NA,0.00353765487670898
500,8,-1,13,NA,NA,0.00383830070495605
500,9,-1,13,NA,NA,0.00386142730712891
500,10,-1,13,NA,NA,0.00414037704467773
500,11,-1,13,NA,NA,0.00413703918457031
500,12,-1,13,NA,NA,0.00385880470275879
550,5,-1,13,Inf,NA,0.179973125457764
550,6,-1,13,NA,NA,0.00393557548522949
550,7,-1,13,NA,NA,0.00352025032043457
550,8,-1,13,NA,NA,0.0035092830657959
550,9,-1,13,NA,NA,0.00376772880554199
550,10,-1,13,NA,NA,0.00357913970947266
550,11,-1,13,NA,NA,0.00372743606567383
550,12,-1,13,NA,NA,0.00380492210388184
600,5,-1,13,Inf,NA,0.184899091720581
600,6,-1,13,NA,NA,0.00361299514770508
600,7,-1,13,NA,NA,0.00369954109191895
600,8,-1,13,NA,NA,0.00365447998046875
600,9,-1,13,NA,NA,0.00356578826904297
600,10,-1,13,NA,NA,0.00374555587768555
600,11,-1,13,NA,NA,0.00348758697509766
600,12,-1,13,NA,NA,0.00360512733459473
650,5,-1,13,Inf,NA,0.190353870391846
650,6,-1,13,NA,NA,0.00366520881652832
650,7,-1,13,NA,NA,0.0035254955291748
650,8,-1,13,NA,NA,0.00381922721862793
650,9,-1,13,NA,NA,0.00356316566467285
650,10,-1,13,NA,NA,0.00348997116088867
650,11,-1,13,NA,NA,0.00379776954650879
650,12,-1,13,NA,NA,0.00353074073791504
700,5,-1,13,Inf,NA,0.19911003112793
700,6,-1,13,NA,NA,0.00388598442077637
700,7,-1,13,NA,NA,0.00355291366577148
700,8,-1,13,NA,NA,0.0037839412689209
700,9,-1,13,NA,NA,0.00353717803955078
700,10,-1,13,NA,NA,0.00352382659912109
700,11,-1,13,NA,NA,0.0040433406829834
700,12,-1,13,NA,NA,0.0155341625213623
750,5,-1,13,Inf,NA,0.202939987182617
750,6,-1,13,NA,NA,0.00399947166442871
750,7,-1,13,NA,NA,0.00377726554870605
750,8,-1,13,NA,NA,0.00361013412475586
750,9,-1,13,NA,NA,0.00442266464233398
750,10,-1,13,NA,NA,0.00360441207885742
750,11,-1,13,NA,NA,0.0036320686340332
750,12,-1,13,NA,NA,0.00376701354980469
800,5,-1,13,Inf,NA,0.212549924850464
800,6,-1,13,NA,NA,0.00411272048950195
800,7,-1,13,NA,NA,0.00367045402526855
800,8,-1,13,NA,NA,0.00363039970397949
800,9,-1,13,NA,NA,0.00490283966064453
800,10,-1,13,NA,NA,0.0039067268371582
800,11,-1,13,NA,NA,0.00391435623168945
800,12,-1,13,NA,NA,0.00390934944152832
850,5,-1,13,Inf,NA,0.217424154281616
850,6,-1,13,NA,NA,0.0036931037902832
850,7,-1,13,NA,NA,0.00367259979248047
850,8,-1,13,NA,NA,0.00356388092041016
850,9,-1,13,NA,NA,0.00356197357177734
850,10,-1,13,NA,NA,0.00380921363830566
850,11,-1,13,NA,NA,0.00347781181335449
850,12,-1,13,NA,NA,0.00349664688110352
900,5,-1,13,Inf,NA,0.216564655303955
900,6,-1,13,NA,NA,0.00394606590270996
900,7,-1,13,NA,NA,0.00348329544067383
900,8,-1,13,NA,NA,0.00350499153137207
900,9,-1,13,NA,NA,0.00387001037597656
900,10,-1,13,NA,NA,0.00356078147888184
900,11,-1,13,NA,NA,0.00398778915405273
900,12,-1,13,NA,NA,0.00789785385131836
950,5,-1,13,Inf,NA,0.254156827926636
950,6,-1,13,NA,NA,0.00375962257385254
950,7,-1,13,NA,NA,0.00376582145690918
950,8,-1,13,NA,NA,0.00353002548217773
950,9,-1,13,NA,NA,0.00354504585266113
950,10,-1,13,NA,NA,0.00382709503173828
950,11,-1,13,NA,NA,0.00351333618164062
950,12,-1,13,NA,NA,0.00373673439025879
1000,5,-1,13,Inf,NA,0.35381293296814
1000,6,-1,13,NA,NA,0.00368428230285645
1000,7,-1,13,NA,NA,0.00367999076843262
1000,8,-1,13,NA,NA,0.00409603118896484
1000,9,-1,13,NA,NA,0.00400280952453613
1000,10,-1,13,NA,NA,0.0039980411529541
1000,11,-1,13,NA,NA,0.00371026992797852
1000,12,-1,13,NA,NA,0.00368094444274902
