"Cost","Gamma","Accuracy","AccLCL","Time"
15,-25,0.733333333333333,0.733333333333333,1.16492772102356
15,-24,0.746666666666667,0.746666666666667,1.11179566383362
15,-23,0.793333333333333,0.793333333333333,0.776093721389771
15,-22,0.8,0.8,0.81426477432251
15,-21,0.8,0.8,0.757759571075439
15,-20,0.796666666666667,0.796666666666667,0.767681837081909
15,-19,0.786666666666667,0.786666666666667,0.77965259552002
15,-18,0.786666666666667,0.786666666666667,0.832363843917847
15,-17,0.766666666666667,0.766666666666667,0.891474485397339
15,-16,0.766666666666667,0.766666666666667,1.0943078994751
15,-15,0.766666666666667,0.766666666666667,1.31986856460571
15,-14,0.786666666666667,0.786666666666667,1.8817503452301
15,-13,0.826666666666667,0.826666666666667,2.92112112045288
15,-12,0.803333333333333,0.803333333333333,5.39723491668701
15,-11,0.796666666666667,0.796666666666667,8.67440986633301
15,-10,0.756666666666667,0.756666666666667,17.6593208312988
15,-9,0.75,0.75,23.1649205684662
15,-8,0.773333333333333,0.773333333333333,11.0686230659485
15,-7,0.756666666666667,0.756666666666667,4.11896061897278
15,-6,0.776666666666667,0.776666666666667,1.90087819099426
15,-5,0.76,0.76,1.08651232719421
15,-4,0.786666666666667,0.786666666666667,0.915218114852905
15,-3,0.78,0.78,1.43563914299011
15,-2,0.76,0.76,1.68719244003296
15,-1,0.76,0.76,1.74283075332642
15,0,0.763333333333333,0.763333333333333,1.76491284370422
15,1,0.763333333333333,0.763333333333333,1.80090665817261
15,2,0.763333333333333,0.763333333333333,1.90092134475708
15,3,0.763333333333333,0.763333333333333,2.20887279510498
15,4,0.763333333333333,0.763333333333333,2.69661545753479
15,5,0.76,0.76,2.82990479469299
15,6,0.76,0.76,2.80788135528564
15,7,0.76,0.76,2.81264209747314
15,8,0.756666666666667,0.756666666666667,2.78688931465149
15,9,0.756666666666667,0.756666666666667,2.80037069320679
15,10,0.756666666666667,0.756666666666667,2.79021859169006
16,-25,0.746666666666667,0.746666666666667,0.799736499786377
16,-24,0.793333333333333,0.793333333333333,0.760698795318604
16,-23,0.796666666666667,0.796666666666667,0.80758261680603
16,-22,0.8,0.8,0.761708736419678
16,-21,0.796666666666667,0.796666666666667,0.752881526947021
16,-20,0.79,0.79,0.763111591339111
16,-19,0.78,0.78,0.77749228477478
16,-18,0.766666666666667,0.766666666666667,0.870956420898438
16,-17,0.77,0.77,1.07982230186462
16,-16,0.753333333333333,0.753333333333333,1.51482081413269
16,-15,0.773333333333333,0.773333333333333,1.86138391494751
16,-14,0.82,0.82,2.82451820373535
16,-13,0.823333333333333,0.823333333333333,5.06457662582397
16,-12,0.816666666666667,0.816666666666667,9.4515655040741
16,-11,0.793333333333333,0.793333333333333,20.3327484130859
16,-10,0.75,0.75,28.3633894920349
16,-9,0.743333333333333,0.743333333333333,27.5674488544464
16,-8,0.756666666666667,0.756666666666667,12.5008735656738
16,-7,0.756666666666667,0.756666666666667,4.12356758117676
16,-6,0.776666666666667,0.776666666666667,1.86845541000366
16,-5,0.76,0.76,1.04981398582458
16,-4,0.786666666666667,0.786666666666667,0.920720338821411
16,-3,0.78,0.78,1.43454360961914
16,-2,0.76,0.76,1.68264102935791
16,-1,0.76,0.76,1.74931836128235
16,0,0.763333333333333,0.763333333333333,1.77000832557678
16,1,0.763333333333333,0.763333333333333,1.84760451316833
16,2,0.763333333333333,0.763333333333333,1.87238621711731
16,3,0.763333333333333,0.763333333333333,2.24945521354675
16,4,0.763333333333333,0.763333333333333,2.6823308467865
16,5,0.76,0.76,2.83365535736084
16,6,0.76,0.76,2.87224268913269
16,7,0.76,0.76,2.8438549041748
16,8,0.756666666666667,0.756666666666667,2.86359024047852
16,9,0.756666666666667,0.756666666666667,2.81133222579956
16,10,0.756666666666667,0.756666666666667,2.81059288978577
17,-25,0.796666666666667,0.796666666666667,0.766731262207031
17,-24,0.793333333333333,0.793333333333333,0.761108160018921
17,-23,0.793333333333333,0.793333333333333,0.79940390586853
17,-22,0.796666666666667,0.796666666666667,0.762571573257446
17,-21,0.786666666666667,0.786666666666667,0.767213821411133
17,-20,0.773333333333333,0.773333333333333,0.788641214370728
17,-19,0.76,0.76,0.927832126617432
17,-18,0.77,0.77,1.14848136901855
17,-17,0.766666666666667,0.766666666666667,1.488600730896
17,-16,0.76,0.76,1.91412854194641
17,-15,0.79,0.79,3.01130056381226
17,-14,0.823333333333333,0.823333333333333,5.04774188995361
17,-13,0.803333333333333,0.803333333333333,9.67729234695435
17,-12,0.796666666666667,0.796666666666667,21.4280931949615
17,-11,0.766666666666667,0.766666666666667,40.0825080871582
17,-10,0.74,0.74,54.6683924198151
17,-9,0.736666666666667,0.736666666666667,33.9589061737061
17,-8,0.76,0.76,12.260124206543
17,-7,0.756666666666667,0.756666666666667,4.09782886505127
17,-6,0.776666666666667,0.776666666666667,1.82395005226135
17,-5,0.76,0.76,1.0748405456543
17,-4,0.786666666666667,0.786666666666667,0.939326763153076
17,-3,0.78,0.78,1.44272708892822
17,-2,0.76,0.76,1.72563076019287
17,-1,0.76,0.76,1.7577075958252
17,0,0.763333333333333,0.763333333333333,1.7789044380188
17,1,0.763333333333333,0.763333333333333,1.80422472953796
17,2,0.763333333333333,0.763333333333333,1.89920854568481
