"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
2,-7,0.1,42.6316687693558,56.71153707991,0.141842603683472
2,-6,0.1,36.5795934541729,51.8413982389743,0.841307878494263
2,-5,0.1,26.4440627743954,39.2321855502662,0.0201852321624756
2,-4,0.1,23.7026871899601,33.0413892696088,0.0206298828125
2,-3,0.1,20.0511812035135,25.0534192880281,0.0223658084869385
2,-2,0.1,16.261949709996,21.3695979392981,0.0259058475494385
2,-1,0.1,14.9730902661489,19.5753107917068,0.0292670726776123
2,0,0.1,26.2739818838926,31.8344581473637,0.0271275043487549
2,1,0.1,50.078723465341,67.4902100357429,0.0299525260925293
2,2,0.1,58.5400939056881,74.1064803690362,0.0265622138977051
2,3,0.1,76.8718746775924,91.0981197400805,0.0261955261230469
2,4,0.1,92.5579870223069,108.239971606247,0.023930549621582
2,5,0.1,111.363083512311,128.874492306614,0.0279242992401123
2,6,0.1,118.459937610559,140.881286791181,0.0191357135772705
2,7,0.1,117.298226321834,136.555186770486,0.0223376750946045
2,8,0.1,116.812924274193,134.292212070058,0.0277078151702881
2,9,0.1,117.629072378614,131.6239295478,0.027024507522583
2,10,0.1,122.030524437006,136.511626062902,0.0270566940307617
3,-25,0.1,122.284485519338,136.786980567803,0.0152292251586914
3,-24,0.1,122.118818418532,148.160856022293,0.0171327590942383
3,-23,0.1,122.907608328216,148.102237514302,0.0147666931152344
3,-22,0.1,121.999051713242,142.189659933961,0.0149123668670654
3,-21,0.1,120.649934278327,145.364168898043,0.0146210193634033
3,-20,0.1,120.554673405776,132.323745557599,0.0145108699798584
3,-19,0.1,122.626305626846,154.797974415481,0.0146162509918213
3,-18,0.1,119.975889262293,136.488532528578,0.0146608352661133
3,-17,0.1,119.819811088359,136.050029334443,0.014535665512085
3,-16,0.1,121.083726038403,136.186448684242,0.0146017074584961
3,-15,0.1,121.643958317027,144.241150175752,0.0168018341064453
3,-14,0.1,118.78034829313,153.477861270472,0.0145814418792725
3,-13,0.1,115.21641046597,135.046999766209,0.0147149562835693
3,-12,0.1,106.471796086696,135.029695992471,0.014519214630127
3,-11,0.1,89.560049476149,106.289027821203,0.0145173072814941
3,-10,0.1,69.9502865763225,81.0934760757861,0.0146951675415039
3,-9,0.1,52.9480664878315,68.523607772427,0.0146899223327637
3,-8,0.1,42.3718091291019,64.6399213067028,0.0151264667510986
3,-7,0.1,39.0596432886667,54.2764657036181,0.0163910388946533
3,-6,0.1,30.6345599147655,44.6738724512518,0.0208659172058105
3,-5,0.1,25.9897366131138,33.1031132922746,0.021045446395874
3,-4,0.1,26.0514529712453,41.0884647123688,0.0216333866119385
3,-3,0.1,18.0984457390612,29.3381120937625,0.0262782573699951
3,-2,0.1,14.320049038896,20.5259129612586,0.0305767059326172
3,-1,0.1,15.2198601102656,20.597209956617,0.0263247489929199
3,0,0.1,23.4118892433175,30.5608283309235,0.0272703170776367
3,1,0.1,46.9942270597697,57.8969980884034,0.0278592109680176
3,2,0.1,61.2179240231322,76.562420726759,0.0241899490356445
3,3,0.1,75.514497376317,87.5893052697467,0.0245919227600098
3,4,0.1,96.0001605576178,116.072840367161,0.0229463577270508
3,5,0.1,110.703817593307,125.151923459697,0.0284178256988525
3,6,0.1,118.029388862761,137.531342535328,0.0190830230712891
3,7,0.1,116.834328109967,134.770872574005,0.0220518112182617
3,8,0.1,120.505152335334,144.442694471061,0.0276432037353516
3,9,0.1,116.643764377859,133.382815064049,0.0270791053771973
3,10,0.1,116.271447690459,137.948362263169,0.0272984504699707
4,-25,0.1,121.567636329285,148.490161162785,0.0150656700134277
4,-24,0.1,119.189369201087,141.868361945629,0.0170931816101074
4,-23,0.1,120.03440668945,141.009066296129,0.0150761604309082
4,-22,0.1,122.753176808155,152.106949902612,0.0147998332977295
4,-21,0.1,120.871768818355,144.003046745846,0.0146567821502686
4,-20,0.1,125.733273424979,145.706835077839,0.0145680904388428
4,-19,0.1,123.912163976946,149.603011450027,0.0146186351776123
4,-18,0.1,122.736122568589,144.618324154194,0.0145845413208008
4,-17,0.1,119.552663015351,138.470272258034,0.0153172016143799
4,-16,0.1,119.90331323103,140.101349721633,0.015131950378418
4,-15,0.1,115.624314624705,135.801963311545,0.0179445743560791
