"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
-10,-25,0.8,1575.63776822796,2515.53123937687,0.817617177963257
-10,-24,0.8,1534.95014811669,2563.48981567138,0.0194778442382812
-10,-23,0.8,1521.0896758784,2131.41368921934,0.0198695659637451
-10,-22,0.8,1538.39602217742,2148.90075565195,0.0179004669189453
-10,-21,0.8,1536.67586245783,2368.01638318352,0.02242112159729
-10,-20,0.8,1505.61364234689,2283.81699602245,0.0185775756835938
-10,-19,0.8,1505.66346315156,2470.5609786312,0.0192375183105469
-10,-18,0.8,1521.91150189926,2296.10321537224,0.0165054798126221
-10,-17,0.8,1511.78420712648,2267.67678407493,0.0190231800079346
-10,-16,0.8,1552.39117636057,2156.7470025918,0.0165724754333496
-10,-15,0.8,1519.76879115804,2170.19846939701,0.0165572166442871
-10,-14,0.8,1559.16369406317,2483.79672509858,0.0163438320159912
-10,-13,0.8,1574.46122377324,2566.26210506446,0.0189049243927002
-10,-12,0.8,1541.23081521716,2203.52003993588,0.0164496898651123
-10,-11,0.8,1569.60515319051,2306.52028669907,0.0167787075042725
-10,-10,0.8,1520.00842281095,2786.9256390903,0.0188601016998291
-10,-9,0.8,1539.40993472648,2062.43700312901,0.0167057514190674
-10,-8,0.8,1494.1681799655,2073.51454369884,0.0164573192596436
-10,-7,0.8,1535.44022710744,2151.29529358863,0.0166010856628418
-10,-6,0.8,1564.79210751197,2139.29337049466,0.0187292098999023
-10,-5,0.8,1549.0698749287,2265.22616035021,0.0164139270782471
-10,-4,0.8,1537.52171512394,2191.73898244198,0.0164153575897217
-10,-3,0.8,1477.68733151559,2356.50041054474,0.0161507129669189
-10,-2,0.8,1549.72154297105,2247.77208894275,0.018589973449707
-10,-1,0.8,1541.70054710234,2175.21999471147,0.0162961483001709
-10,0,0.8,1520.4301975341,2246.36136077544,0.0161521434783936
-10,1,0.8,1518.7414297546,2424.77387349916,0.0196266174316406
-10,2,0.8,1542.45656593185,2429.33804907941,0.0172023773193359
-10,3,0.8,1530.90203150528,2378.96821793514,0.0173749923706055
-10,4,0.8,1510.17087739851,2216.92514051663,0.017014741897583
-10,5,0.8,1524.74072745347,2429.17571695154,0.0203471183776855
-10,6,0.8,1513.37608423125,2271.3990835173,0.0187382698059082
-10,7,0.8,1557.36080215724,2529.73898109411,0.018773078918457
-10,8,0.8,1507.41160430922,2367.98885729031,0.0184834003448486
-10,9,0.8,1511.85923984559,2202.00521915528,0.020979642868042
-10,10,0.8,1580.51769256233,2270.15901760665,0.0187435150146484
-9,-25,0.8,1540.12619565781,2706.10714368433,0.0162489414215088
-9,-24,0.8,1562.7465273168,2360.0741287721,0.0184793472290039
-9,-23,0.8,1501.06421786697,2261.50998760029,0.016425609588623
-9,-22,0.8,1530.49238843071,2204.16070980234,0.016331672668457
-9,-21,0.8,1535.12802545482,2302.91611774927,0.0160534381866455
-9,-20,0.8,1540.39787129907,2468.03138769779,0.0189006328582764
-9,-19,0.8,1548.67042415339,2165.52490138454,0.0162069797515869
-9,-18,0.8,1534.37456534596,2401.1315935275,0.0165159702301025
-9,-17,0.8,1538.62763628156,1974.27266132845,0.0161905288696289
-9,-16,0.8,1529.9589729632,2243.67211988222,0.0183727741241455
-9,-15,0.8,1555.17329760802,2441.17676769242,0.0164914131164551
-9,-14,0.8,1529.60997018431,2266.41028011159,0.0161757469177246
-9,-13,0.8,1541.95826437735,2230.24464017965,0.018622875213623
-9,-12,0.8,1537.82101090086,2282.21065138653,0.0161185264587402
-9,-11,0.8,1558.27569911743,2221.36711415797,0.016237735748291
-9,-10,0.8,1538.24927337502,2213.47736885502,0.0164291858673096
-9,-9,0.8,1533.12395059689,2267.30119355036,0.0183227062225342
-9,-8,0.8,1548.6528617086,2396.32825546643,0.0166165828704834
-9,-7,0.8,1558.4532236535,2290.96197845529,0.0161900520324707
-9,-6,0.8,1536.91399663751,2317.64986229703,0.018322229385376
-9,-5,0.8,1570.57388082903,2078.76555841253,0.0165505409240723
-9,-4,0.8,1547.40858082876,2220.46474993167,0.0160219669342041
-9,-3,0.8,1525.45007123739,2219.54757026222,0.0160660743713379
-9,-2,0.8,1570.87710532611,2554.67550147915,0.0186593532562256
-9,-1,0.8,1553.73442538006,2609.88274167738,0.0161812305450439
-9,0,0.8,1503.76268066258,2349.77356824565,0.0162043571472168
-9,1,0.8,1528.8715885428,2422.01482862484,0.0216381549835205
-9,2,0.8,1538.63485500116,2071.12092699328,0.0173747539520264
-9,3,0.8,1493.90260391634,2371.91323054228,0.0170941352844238
-9,4,0.8,1548.98057886783,2194.13435367199,0.017242431640625
-9,5,0.8,1552.70923671436,2038.9281888108,0.0209989547729492
-9,6,0.8,1514.3524990525,2369.48504106482,0.0187687873840332
