"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
20,-15,0.5,1501952671.56338,1904541784.00665,75.4123787879944
20,-14,0.5,1325809524.36908,1687086661.73648,33.7984597682953
20,-13,0.5,1410995727.67545,1805721437.49927,17.079959154129
20,-12,0.5,1364703123.60078,1770078076.80399,9.35347151756287
20,-11,0.5,1271118999.84495,1726379134.06679,5.65570664405823
20,-10,0.5,1255148415.92537,1616038882.76488,3.78231310844421
20,-9,0.5,1176387566.87737,1465639030.28638,2.75473666191101
20,-8,0.5,1116391690.03513,1411128977.27505,2.30540728569031
20,-7,0.5,1000467011.74037,1255271356.65597,2.01491522789001
20,-6,0.5,1066628602.88836,1381947176.40878,1.76035189628601
20,-5,0.5,1226492056.07603,1554816101.66423,2.1027774810791
20,-4,0.5,2097919276.90873,2793039964.90074,3.22879934310913
20,-3,0.5,3968746333.5391,4537645792.70603,6.00144028663635
20,-2,0.5,5981707499.96137,6599499767.19071,8.30589938163757
20,-1,0.5,6413475754.62061,7445936038.80323,8.51899719238281
20,0,0.5,6438096197.46127,7334406116.02241,10.1962597370148
20,1,0.5,6435543109.32391,7280754026.04448,9.65452241897583
20,2,0.5,6437016670.96818,6760782582.37428,8.59510087966919
20,3,0.5,6436650985.04835,7137702590.80361,9.39158225059509
20,4,0.5,6438082530.77854,7135589842.26166,10.469703912735
20,5,0.5,6446840740.45859,7464248007.62945,10.4243314266205
20,6,0.5,6442894130.35602,7501790839.23208,10.3465850353241
20,7,0.5,6441975824.58861,7574404343.24859,10.3371906280518
20,8,0.5,6438899939.36124,7213996156.68901,10.3873772621155
20,9,0.5,6444739444.46753,7552086514.78896,10.3434600830078
20,10,0.5,6444662825.99175,7708359126.14435,10.345077753067
21,-25,0.5,2075456988.74306,2440380549.19095,16.2483565807343
21,-24,0.5,2426117369.24475,3071266742.69316,24.1243717670441
21,-23,0.5,2738997632.78845,3258539759.20852,33.0548233985901
21,-22,0.5,3188456271.58918,4131211162.03092,60.2946579456329
