"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
15,-25,0.4,0.144459170374778,0.219189691045238,0.924064636230469
15,-24,0.4,0.125358835985997,0.197603859665085,0.0162408351898193
15,-23,0.4,0.090581381045018,0.132096086245253,0.0145704746246338
15,-22,0.4,0.0825554992455835,0.105852359520367,0.0146632194519043
15,-21,0.4,0.0602969589656337,0.0878829359616601,0.0149102210998535
15,-20,0.4,0.0553411458080206,0.0691478833935445,0.0172355175018311
15,-19,0.4,0.0353409793053027,0.0575738874567629,0.0156817436218262
15,-18,0.4,0.0326144593438717,0.0604603348603592,0.0153923034667969
15,-17,0.4,0.0208593489786804,0.0298226527129273,0.0158498287200928
15,-16,0.4,0.0308796471254523,0.0572582076142966,0.0157458782196045
15,-15,0.4,0.0251070036559729,0.0415220317416052,0.0174918174743652
15,-14,0.4,0.0322432481371451,0.0602907830345493,0.0158326625823975
15,-13,0.4,0.0196133090592759,0.029786885195952,0.015723705291748
15,-12,0.4,0.0214898891543211,0.0306119213201489,0.0153424739837646
15,-11,0.4,0.0194589364476396,0.0301050488332812,0.0172076225280762
15,-10,0.4,0.0319970361042573,0.0582945471495001,0.0150694847106934
15,-9,0.4,0.0313248653008278,0.0762366857439372,0.0150406360626221
15,-8,0.4,0.0255743267150323,0.0351153388915781,0.0141777992248535
15,-7,0.4,0.0240873696798019,0.0367562914860013,0.0144078731536865
15,-6,0.4,0.0256237939464888,0.0395988718473466,0.015979528427124
15,-5,0.4,0.0256494516012368,0.0417177506600631,0.0139167308807373
15,-4,0.4,0.0287529813977534,0.0446891370265085,0.0141513347625732
15,-3,0.4,0.0377989463195163,0.0591810149471341,0.0141520500183105
15,-2,0.4,0.0485711644006411,0.0755106522915053,0.0163135528564453
15,-1,0.4,0.0683678065601192,0.0969051106530313,0.0142698287963867
15,0,0.4,0.107585581671032,0.151099848318196,0.0148217678070068
15,1,0.4,0.140079694297216,0.191127258093644,0.0155329704284668
15,2,0.4,0.153757688575046,0.24022110813323,0.015596866607666
15,3,0.4,0.177222930195991,0.26305534206358,0.0179798603057861
15,4,0.4,0.179258270119998,0.242524079515504,0.0161101818084717
15,5,0.4,0.183788305507647,0.256014177283792,0.0168399810791016
15,6,0.4,0.176508027491364,0.263093477712716,0.0163662433624268
15,7,0.4,0.182208783267732,0.25242528830461,0.0187938213348389
15,8,0.4,0.187027630051964,0.261009870205192,0.0168561935424805
15,9,0.4,0.186356560673833,0.287624184246276,0.0169262886047363
15,10,0.4,0.180094234884028,0.246259195371539,0.0168704986572266
16,-25,0.4,0.125044796187585,0.184103417145079,0.0159718990325928
16,-24,0.4,0.10165589456338,0.151855239419892,0.0143823623657227
16,-23,0.4,0.0826610925016749,0.109123805750309,0.0142078399658203
16,-22,0.4,0.0675428884732997,0.0998390476150237,0.0146636962890625
16,-21,0.4,0.0506346562952317,0.0717053291814449,0.0151345729827881
16,-20,0.4,0.0321752516933291,0.0454211055976582,0.0174868106842041
16,-19,0.4,0.0266878532851293,0.0419792147332767,0.0157039165496826
16,-18,0.4,0.0219789313645528,0.0306771318430283,0.0158777236938477
16,-17,0.4,0.017539170015882,0.0270840197921945,0.0157651901245117
16,-16,0.4,0.02508572955126,0.0409588247399482,0.0176823139190674
16,-15,0.4,0.0228207588355468,0.035488266001315,0.0156052112579346
16,-14,0.4,0.0187731443261089,0.0269055760193072,0.0158793926239014
16,-13,0.4,0.0288930232305393,0.0564704200590564,0.0158653259277344
16,-12,0.4,0.0336479657907245,0.0690926398905649,0.0153870582580566
16,-11,0.4,0.0248899717683333,0.037309257678936,0.0175590515136719
16,-10,0.4,0.0266459674901444,0.0410935031312458,0.0149192810058594
16,-9,0.4,0.0240336094026289,0.0349275253872472,0.0149595737457275
16,-8,0.4,0.0262451281371587,0.0414926905732057,0.0142204761505127
16,-7,0.4,0.0302476587380357,0.0521295423279897,0.0161921977996826
16,-6,0.4,0.0263166235512746,0.0435966018491333,0.0138349533081055
16,-5,0.4,0.0289223646483643,0.0406505155369891,0.0138907432556152
16,-4,0.4,0.0647786853018477,0.130865417625106,0.0138528347015381
16,-3,0.4,0.037946469441228,0.0618081831496311,0.016049861907959
16,-2,0.4,0.0499901040454363,0.0681050464074561,0.0141851902008057
16,-1,0.4,0.0684686645273932,0.0910678723143872,0.0144631862640381
16,0,0.4,0.102002368063102,0.146140134475399,0.0146849155426025
16,1,0.4,0.135829159373641,0.235692260955484,0.0156509876251221
16,2,0.4,0.159487378352386,0.238909171959574,0.0174341201782227
16,3,0.4,0.175271091234186,0.274102236678372,0.0155940055847168
16,4,0.4,0.172902876813146,0.258858713653349,0.0161833763122559
16,5,0.4,0.183450880927217,0.290551253055395,0.0171084403991699
16,6,0.4,0.177124018630166,0.23231443009836,0.0185341835021973
16,7,0.4,0.179650862096351,0.279856776618158,0.0164463520050049
16,8,0.4,0.185881540190967,0.254889104560137,0.0171341896057129
16,9,0.4,0.17753695656503,0.243305585926141,0.0169787406921387
16,10,0.4,0.180011202240419,0.248058412595119,0.0186104774475098
17,-25,0.4,0.0945072763725452,0.133695920394033,0.0144433975219727
17,-24,0.4,0.0755674155451842,0.123787674822807,0.0142357349395752
17,-23,0.4,0.0623942196869582,0.0900084846887511,0.0147280693054199
17,-22,0.4,0.0603150375025153,0.0838498022133777,0.0150825977325439
17,-21,0.4,0.0437828004972004,0.066706471568033,0.0206730365753174
17,-20,0.4,0.030623549233542,0.0591831015682858,0.0155599117279053
17,-19,0.4,0.020292615337209,0.0291685613278391,0.0158402919769287
17,-18,0.4,0.0175184066632379,0.0245010140090353,0.0163934230804443
17,-17,0.4,0.0214195247031186,0.030142621121755,0.0183260440826416
17,-16,0.4,0.0208769973841316,0.0325896297689923,0.01596999168396
17,-15,0.4,0.0269201121447869,0.0426327118154924,0.0158176422119141
17,-14,0.4,0.0237483251865788,0.0391590619291265,0.0158462524414062
17,-13,0.4,0.0204055807108809,0.0269016085983458,0.0156722068786621
17,-12,0.4,0.0193033363761079,0.0294634143656554,0.0175750255584717
17,-11,0.4,0.0212585692025098,0.0300369469539759,0.0155529975891113
17,-10,0.4,0.0259137862113787,0.0418291479214259,0.015312671661377
17,-9,0.4,0.0217858109492745,0.0316544558010336,0.0148897171020508
17,-8,0.4,0.0239178656562209,0.0438966659421446,0.0158336162567139
17,-7,0.4,0.0291492380479586,0.0495635670577331,0.0145914554595947
17,-6,0.4,0.0259336674198524,0.0456670594352122,0.0139486789703369
17,-5,0.4,0.0245068093393391,0.03828901939015,0.0138235092163086
17,-4,0.4,0.0282814446294398,0.0450004386582014,0.0139822959899902
17,-3,0.4,0.0375698364469908,0.0512254486604597,0.0161428451538086
17,-2,0.4,0.047013461152743,0.0612165088676594,0.0142519474029541
17,-1,0.4,0.0695612664566537,0.108045623719469,0.0142374038696289
17,0,0.4,0.107077034364863,0.181848765598952,0.0146713256835938
17,1,0.4,0.137482643334142,0.196268873639031,0.015700101852417
17,2,0.4,0.158813765721026,0.21373142210701,0.0176413059234619
17,3,0.4,0.171909115327938,0.23650799410545,0.0155832767486572
17,4,0.4,0.175070537146371,0.281426063770761,0.016024112701416
17,5,0.4,0.185906894795007,0.250506968527183,0.0170936584472656
17,6,0.4,0.180004917734383,0.30328511873274,0.0186569690704346
17,7,0.4,0.186637176230775,0.270519543145746,0.0166687965393066
17,8,0.4,0.179684998842244,0.259007192195569,0.0169229507446289
17,9,0.4,0.17916697100248,0.246678785289835,0.0170753002166748
17,10,0.4,0.1769209807071,0.275247323168286,0.01680588722229
18,-25,0.4,0.0840037033075669,0.111260800188466,0.0163016319274902
18,-24,0.4,0.0652407224693959,0.0934854928963613,0.0195450782775879
18,-23,0.4,0.0540261369595341,0.0792397342960801,0.0175187587738037
18,-22,0.4,0.0406404788605452,0.058848081559363,0.0166139602661133
18,-21,0.4,0.0266984184105744,0.0424681005183765,0.0212135314941406
18,-20,0.4,0.0184244551004502,0.0271333403095052,0.0164947509765625
18,-19,0.4,0.0254369807310328,0.0443593873476856,0.0155520439147949
18,-18,0.4,0.0250526987842694,0.0409656050806118,0.0153510570526123
18,-17,0.4,0.0209132126286662,0.0300980932167651,0.0153188705444336
18,-16,0.4,0.0293286478650196,0.0493718542334358,0.017519474029541
18,-15,0.4,0.0190456561830922,0.0266980136089682,0.0152554512023926
18,-14,0.4,0.0283711388365431,0.0488632768984436,0.0152387619018555
18,-13,0.4,0.0234937183484177,0.0349207400673134,0.0151512622833252
18,-12,0.4,0.0189854828305621,0.0277755675289299,0.0169968605041504
18,-11,0.4,0.0217528409701498,0.0296478936510408,0.0147898197174072
18,-10,0.4,0.0295111580380346,0.0471519661753228,0.0144889354705811
