"Optimizer","Nu","Iter","Depth","Error","Time"
"ga.2",0.396937698125839,248,16,0.0204978038067349,7830.14210987091
"ga.2",0.594683617353439,205,12,0.0234260614934114,8180.61694455147
"ga.2",0.772395253181458,233,18,0.0219619326500732,4960.7285823822
"ga.2",0.209474086761475,222,11,0.0234260614934114,5631.40853762627
"ga.2",0.58064018958391,131,11,0.0234260614934114,5928.90639472008
"ga.2",0.565143495798111,227,11,0.0219619326500732,10079.733561039
"ga.2",0.556996867060661,157,8,0.0234260614934114,4375.41327619553
"ga.2",0.372419402003288,155,17,0.0234260614934114,4808.18991160393
"ga.2",0.47263565659523,129,17,0.0234260614934114,8002.52497410774
"ga.2",0.214870631694794,224,9,0.0234260614934114,8721.34184098244
