"Optimizer","Nu","Iter","Depth","Error","Time"
"hs.2",0.674167373916134,53,12,0.0395314787701318,4418.28157544136
"hs.2",0.0667562782764435,276,16,0.0278184480234261,5691.44783353806
"hs.2",0.0924113891087472,277,13,0.0307467057101025,4608.67530560493
"hs.2",0.927569048246369,190,8,0.0278184480234261,4843.34162163734
"hs.2",0.125084751017857,144,11,0.0307467057101025,4446.80438518524
"hs.2",0.850555536104366,264,7,0.0336749633967789,4805.48329401016
"hs.2",0.0667378776706755,279,18,0.0278184480234261,3564.39359903336
"hs.2",0.649407763965428,149,19,0.0366032210834553,3900.52373504639
"hs.2",0.133649290073663,78,13,0.0307467057101025,4511.12939381599
"hs.2",0.920703989453614,225,17,0.0380673499267936,4898.32664966583
