"Optimizer","Nu","Iter","Depth","Error","Time"
"ffa.2",0.0779640014586039,53,19,0.0626780626780627,2933.12976574898
"ffa.2",0.20591745328391,262,20,0.0683760683760684,12668.4668221474
"ffa.2",0.453254153751768,227,4,0.0683760683760684,10501.2131195068
"ffa.2",0.448433592850342,76,4,0.0712250712250712,3945.74924278259
"ffa.2",0.596246583068278,142,13,0.0541310541310541,7975.17658877373
"ffa.2",0.361462490353733,265,15,0.0655270655270655,12548.6791360378
"ffa.2",1,223,7,0.0712250712250712,10199.8866488934
"ffa.2",0.166365148443729,243,7,0.0683760683760684,11583.8958070278
"ffa.2",0.0163455280265771,259,10,0.0712250712250712,12157.5160381794
"ffa.2",0.01,248,11,0.0712250712250712,11488.3968229294
