"Optimizer","Nu","Iter","Depth","Error","Time"
"ga.1",0.383222758769989,186,12,0.0541310541310541,3445.47919201851
"ga.1",0.0923052475764416,237,17,0.0541310541310541,1793.21695756912
"ga.1",0.455675587058067,203,13,0.0541310541310541,2183.76694774628
"ga.1",0.284679068620107,182,17,0.0512820512820513,3427.51503586769
"ga.1",0.0517113097058609,280,18,0.0541310541310541,1843.13345909119
"ga.1",0.19998899102211,133,9,0.0569800569800569,2043.93427205086
"ga.1",0.107487380504608,177,7,0.0569800569800569,2633.55256009102
"ga.1",0.134879231452942,175,8,0.0541310541310541,2113.92379689217
"ga.1",0.11716690659523,146,13,0.0569800569800569,2897.78191304207
"ga.1",0.619359468473122,119,12,0.0541310541310541,1851.1261279583
