"Optimizer","Nu","Iter","Depth","Error","Time"
"goa.1",0.0698763301962998,230,19,0.0797720797720798,2616.05807137489
"goa.1",0.326647632948589,111,3,0.0740740740740741,1303.40200328827
"goa.1",0.488962768539786,92,15,0.0655270655270655,1214.23144507408
"goa.1",0.179506987305464,116,8,0.0740740740740741,1428.57665681839
"goa.1",0.997500003744531,108,3,0.0854700854700855,1312.41218233109
"goa.1",0.134530532834725,99,14,0.0769230769230769,1200.6312520504
"goa.1",0.588854354446644,181,9,0.0740740740740741,2129.49902367592
"goa.1",0.478106191198323,256,9,0.0712250712250712,2990.22578239441
"goa.1",0.518500938288106,254,20,0.0655270655270655,2833.48113751411
"goa.1",0.751802692397032,106,10,0.0740740740740741,1283.21834254265
