"Optimizer","Nu","Iter","Depth","Error","Time"
"hs.2",0.160250744451769,288,12,0.0740740740740741,11155.0845909119
"hs.2",0.210575077789836,266,13,0.0769230769230769,9983.179500103
"hs.2",0.0989477210189216,124,11,0.0626780626780627,6927.30009412766
"hs.2",0.126275473511778,53,14,0.0712250712250712,7718.31232857704
"hs.2",0.60610265946947,109,5,0.0712250712250712,6375.51934909821
"hs.2",0.132335901584011,68,7,0.0655270655270655,5251.15571117401
"hs.2",0.189055458984803,160,10,0.0712250712250712,8779.16179490089
"hs.2",0.0862338789412752,256,5,0.0712250712250712,11401.5324378014
"hs.2",0.223289328312967,66,10,0.0598290598290598,6885.52981615067
"hs.2",0.0463254314288497,248,3,0.0655270655270655,11862.24969697
