"Optimizer","Nu","Iter","Depth","Error","Time"
"hjn.1",0.9,100,2,0.153571428571429,935.209008693695
"hjn.1",1,99,6,0.141666666666667,1277.74021148682
"hjn.1",0.999,100,1,0.138095238095238,763.101012468338
"hjn.1",0.99999,99,2,0.148809523809524,1211.61804175377
"hjn.1",1,100,2,0.146428571428571,990.01341509819
"hjn.1",0.981,102,5,0.148809523809524,1823.77403450012
"hjn.1",1,101,2,0.147619047619048,1032.94933366776
"hjn.1",1,103,2,0.15,947.679218530655
"hjn.1",1,103,4,0.147619047619048,1145.49946522713
"hjn.1",0.99,100,1,0.148809523809524,1098.53721022606
