"Optimizer","Nu","Iter","Depth","Error","Time"
"mfo.1",0.866004735516989,222,20,0.153571428571429,3817.27549171448
"mfo.1",0.564144713332002,300,20,0.155952380952381,4453.92490768433
"mfo.1",0.631786491256207,248,4,0.160714285714286,3576.16730380058
"mfo.1",0.0788584629490929,192,6,0.161904761904762,4764.2559530735
"mfo.1",0.0220305239726396,183,20,0.145238095238095,3571.74075579643
"mfo.1",0.0329675949297116,300,14,0.158333333333333,3903.5530090332
"mfo.1",0.144196166624704,163,20,0.158333333333333,2999.22304105759
"mfo.1",0.231800725565691,176,15,0.161904761904762,3743.61385345459
"mfo.1",0.277565023649224,277,12,0.15,4902.42820048332
"mfo.1",0.0428540486791109,50,20,0.15,2431.97527360916
