"Optimizer","Nu","Iter","Depth","Error","Time"
"da.1",0.117541932009161,135,3,0.163095238095238,2985.08384275436
"da.1",0.0834319840607477,300,9,0.148809523809524,4947.26334953308
"da.1",0.72635929084057,218,16,0.155952380952381,4348.34174561501
"da.1",0.01,90,19,0.158333333333333,2331.42197656631
"da.1",0.155238793452678,279,8,0.15,3819.93380880356
"da.1",0.425756000026595,243,10,0.16547619047619,4575.39365100861
"da.1",0.516511782695087,167,10,0.15952380952381,3968.18289399147
"da.1",0.0687611254402436,149,12,0.163095238095238,3456.7819211483
"da.1",0.472307331337619,241,2,0.169047619047619,4222.91934323311
"da.1",0.165613592006266,189,2,0.144047619047619,3305.41196680069
