"Optimizer","Nu","Iter","Depth","Error","Time"
"ffa.2",0.01,65,6,0.15,5798.23500299454
"ffa.2",0.317222199831158,178,18,0.153571428571429,15588.7976548672
"ffa.2",0.141354517769068,73,5,0.145238095238095,6473.69211244583
"ffa.2",0.185572281859349,222,18,0.147619047619048,19314.7508358955
"ffa.2",0.54965918516973,166,14,0.154761904761905,14464.9933214188
"ffa.2",0.44943401039578,243,1,0.148809523809524,13107.2526853085
"ffa.2",0.457025230585132,166,15,0.157142857142857,14250.7536637783
"ffa.2",0.911942821741104,59,13,0.167857142857143,5628.78743290901
"ffa.2",0.658433080613613,219,7,0.171428571428571,18655.9853479862
"ffa.2",0.231722133695148,239,18,0.15,20514.4850523472
