"Optimizer","Nu","Iter","Depth","Error","Time"
"ga.100",0.0444204622320831,94,10,0.155405405405405,1127.93930673599
"ga.100",0.0640211254358292,241,12,0.15,1040.91341757774
"ga.100",0.172537641719161,248,18,0.159459459459459,890.639472007751
"ga.100",0.572405874286294,264,12,0.144594594594595,1277.34771132469
"ga.100",0.304878652095795,124,7,0.151351351351351,718.084797620773
"ga.100",0.0845030844211578,109,2,0.148648648648649,692.011991739273
"ga.100",0.495753556489944,101,10,0.155405405405405,597.422598600388
"ga.100",0.325318161862985,140,12,0.151351351351351,1049.77100205421
"ga.100",0.221070106486137,126,9,0.156756756756757,1089.18600916862
"ga.100",0.172467606663704,122,18,0.154054054054054,651.844842910767
