"Optimizer","Nu","Iter","Depth","Error","Time"
"sca.2",0.24032976485864,129,10,0.154761904761905,13918.3721346855
"sca.2",0.26252284769306,111,2,0.148809523809524,13054.5323956013
"sca.2",0.01,157,12,0.152380952380952,13965.0657930374
"sca.2",0.0612696259000145,300,13,0.155952380952381,12757.738284111
"sca.2",0.353996742915722,300,13,0.151190476190476,16931.9078679085
"sca.2",0.01,170,20,0.15,11938.2070441246
"sca.2",0.0291484210631911,111,8,0.157142857142857,11083.8246212006
"sca.2",0.26163476099254,148,18,0.152380952380952,12803.6802859306
"sca.2",0.482555952862378,50,4,0.155952380952381,8142.86531758308
"sca.2",0.653470263262279,172,3,0.16547619047619,10726.8266227245
