"Optimizer","Nu","Iter","Depth","Error","Time"
"gwo.1",0.0261205191006552,90,13,0.239583333333333,936.013616085052
"gwo.1",0.0517202138299707,161,5,0.23046875,1401.87342453003
"gwo.1",0.432695493093368,85,1,0.231770833333333,822.826098680496
"gwo.1",0.164894654264221,82,3,0.243489583333333,780.533121109009
"gwo.1",0.583807710456476,74,2,0.24609375,609.001570224762
"gwo.1",0.0228271520673204,300,8,0.23828125,2159.37550997734
"gwo.1",0.0837928217476017,77,6,0.2109375,770.15981054306
"gwo.1",0.0268359049223363,172,15,0.231770833333333,1773.67125582695
"gwo.1",0.0838459864660767,64,15,0.251302083333333,704.84564948082
"gwo.1",0.782900619831628,199,1,0.25,1324.03973293304
