"Optimizer","Nu","Iter","Depth","Error","Time"
"woa.2",0.0583454493331516,243,5,0.235677083333333,1872.3544011116
"woa.2",0.428641383101738,174,2,0.252604166666667,1339.0829000473
"woa.2",0.161196748041906,60,1,0.23046875,716.753451108932
"woa.2",0.468207567676368,50,1,0.236979166666667,606.917547464371
"woa.2",0.0812889267658372,205,2,0.235677083333333,1411.8459956646
"woa.2",0.387920524537186,50,1,0.239583333333333,575.342291355133
"woa.2",0.055023502506764,50,3,0.23828125,652.615782976151
"woa.2",0.00709851920784391,134,10,0.2421875,1258.3640999794
"woa.2",0.15428573246369,199,1,0.234375,1403.48056077957
"woa.2",0.2345601443286,129,5,0.248697916666667,1107.79093432426
