"Optimizer","Nu","Iter","Depth","Error","Time"
"ffa.1",0.129213673553895,85,3,0.2265625,726.94521522522
"ffa.1",0.105388501975685,110,12,0.2421875,1090.9055185318
"ffa.1",0.588759222142398,95,15,0.265625,958.263641119003
"ffa.1",0.01,148,19,0.234375,1365.88737082481
"ffa.1",0.102029555281624,219,9,0.244791666666667,1972.67632126808
"ffa.1",0.531835293543991,146,13,0.255208333333333,1389.16022491455
"ffa.1",0.01,286,3,0.24609375,2232.65486717224
"ffa.1",0.952971828123555,128,13,0.276041666666667,1246.18945646286
"ffa.1",0.0883882774412632,271,3,0.243489583333333,2122.68149065971
"ffa.1",0.0654058375768364,183,15,0.255208333333333,1669.28690171242
